organization_id,invoice_id,invoice_number,billing_month,total_amount,amount_paid,balance,drift,status
00000000-0000-0000-0000-000000000001,3d103a1f-f0d9-4228-a7d9-6eb24b7b4d7d,VISTA/26-27/05/00012,2026-05,13065.00,0,0,13065.00,pending
00000000-0000-0000-0000-000000000001,b117e4a3-9e19-4a50-84e3-93a1eaf2176b,VISTA/26-27/05/00007,2026-05,13500.00,0,0,13500.00,pending
00000000-0000-0000-0000-000000000001,4fcc2c98-5ef8-4c56-a17a-bf7a98522a80,IMPORT/25-05/00001-0,2025-05,1000.00,0,0,1000.00,pending
00000000-0000-0000-0000-000000000001,95a529f9-01e9-4b74-9253-4e6a9a2bb40d,IMPORT/25-05/00002-0,2025-05,8419.00,0,0,8419.00,pending
00000000-0000-0000-0000-000000000001,f85129bc-6ffa-4d8a-999a-a7b1b263e779,IMPORT/25-06/00003-0,2025-06,7672.00,0,0,7672.00,pending
00000000-0000-0000-0000-000000000001,c96a429a-6ffd-4e03-8aa3-f875f7443e8b,IMPORT/25-07/00004-0,2025-07,1248.00,0,0,1248.00,pending
00000000-0000-0000-0000-000000000001,8e828178-9bac-42cb-8460-32d66b01f384,IMPORT/25-10/00005-0,2025-10,13000.00,0,0,13000.00,pending
00000000-0000-0000-0000-000000000001,4b569e30-134a-4995-8f87-e54a2bd56ccb,IMPORT/25-10/00006-0,2025-10,1000.00,0,0,1000.00,pending
00000000-0000-0000-0000-000000000001,6e12dbc3-4056-42a6-89cf-73e7cfe5502b,IMPORT/25-11/00007-0,2025-11,17008.00,0,0,17008.00,pending
00000000-0000-0000-0000-000000000001,79a24a51-ed2c-4296-abec-fdfc5a2e7c9b,IMPORT/25-12/00008-0,2025-12,4830.00,0,0,4830.00,pending
00000000-0000-0000-0000-000000000001,e214895b-5e23-48ea-bdb8-fe96f683b512,IMPORT/26-01/00009-0,2026-01,366.00,0,0,366.00,pending
00000000-0000-0000-0000-000000000001,036afe14-a822-4add-afe8-8bedf0473dba,IMPORT/25-05/00010-0,2025-05,8419.00,0,0,8419.00,pending
00000000-0000-0000-0000-000000000001,746aedf3-ac8b-45b9-a1a8-417eebb76245,IMPORT/25-05/00011-0,2025-05,2250.00,0,0,2250.00,pending
00000000-0000-0000-0000-000000000001,761ca6f7-4a0b-4a41-b43f-aaa5a4438ca8,IMPORT/25-06/00012-0,2025-06,177.00,0,0,177.00,pending
00000000-0000-0000-0000-000000000001,05a952bd-16a2-400a-b2b4-4a34e5bc1226,IMPORT/25-06/00013-0,2025-06,7672.00,0,0,7672.00,pending
00000000-0000-0000-0000-000000000001,ce88f56c-008b-4ebb-bb4a-db60552b72fd,IMPORT/25-07/00014-0,2025-07,832.00,0,0,832.00,pending
00000000-0000-0000-0000-000000000001,205d6990-15c5-45c1-b35e-6d72e649d91f,IMPORT/25-09/00015-0,2025-09,1000.00,0,0,1000.00,pending
00000000-0000-0000-0000-000000000001,027e565c-56ee-4465-b3de-d031a8cc90d9,IMPORT/25-09/00016-0,2025-09,1033.00,0,0,1033.00,pending
00000000-0000-0000-0000-000000000001,290635dc-4230-42d4-9397-b89a91741893,IMPORT/25-10/00017-0,2025-10,15638.00,0,0,15638.00,pending
00000000-0000-0000-0000-000000000001,ebd9cca4-0e4b-4c77-939b-e35f82028033,IMPORT/25-11/00018-0,2025-11,2250.00,0,0,2250.00,pending
00000000-0000-0000-0000-000000000001,166c206f-4e40-45d8-8666-5eff0276ac39,IMPORT/25-11/00019-0,2025-11,16740.00,0,0,16740.00,pending
00000000-0000-0000-0000-000000000001,07e5f270-d5ee-4bb2-a6bd-13ec6038e1a5,IMPORT/25-12/00020-0,2025-12,1200.00,0,0,1200.00,pending
