id,organization_id,property_id,bed_type,toilet_type,monthly_rate,from_date,to_date,created_at
965a4223-addf-a293-65f8-814a5c6c63bb,00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Triple,Attached,11500.00,2022-01-01,2024-01-31,2025-04-29 14:13:00+00
1af2e61b-b80f-913f-d8fb-41b0424653d7,00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Double,Common,12600.00,2022-01-01,2024-01-31,2025-04-29 14:13:00+00
6bda4d4e-626d-091a-87d0-5a8a7297e5c7,00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Double,Attached,13600.00,2022-01-01,2024-01-31,2025-04-29 14:13:00+00
88d1ee88-e1c1-a340-4692-b908ad1b330a,00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Single,Common,18300.00,2022-01-01,2024-01-31,2025-04-29 14:13:00+00
89475a69-d949-3701-5c3f-653f27bd2fb4,00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Single,Attached,24000.00,2022-01-01,2024-01-31,2025-04-29 04:13:00+00
dc95c16c-3d14-47b0-40e5-4180f9370157,00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Executive,Attached,24000.00,2022-01-01,2024-01-31,2025-04-29 14:13:00+00
8a414a8a-2e54-e699-9f3e-da925f0f2c39,00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Triple,Attached,13000.00,2024-02-01,2024-12-31,2025-04-29 14:13:00+00
408066e1-558e-2bf1-baa0-90f53b017c3b,00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Double,Common,13500.00,2024-02-01,2024-12-31,2025-04-29 14:13:00+00
fab3502f-c934-8f0d-39a9-6240f2204f22,00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Double,Attached,14500.00,2024-02-01,2024-12-31,2025-04-29 14:13:00+00
86cbc1f5-3e5a-307a-5d79-57eebdcba56e,00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,Single,Common,19000.00,2024-02-01,2024-12-31,2025-04-29 14:13:00+00
