id,organization_id,tenant_id,allotment_id,old_bed_id,new_bed_id,switch_type,switch_date,effective_date,rent_difference,adjustment_type,status,notes,created_at,old_allotment_id,new_allotment_id,old_property_id,new_property_id,old_apartment_id,new_apartment_id,old_rent,new_rent,deposit_difference,eb_charges,completed_at,cancelled_at,completed_by,cancelled_by
e8b49b83-68e8-4ab2-b282-28e222f39e07,00000000-0000-0000-0000-000000000001,de481a65-2fb4-4974-b7db-0ec990ea852d,dfbde8b3-e621-44a0-905c-e17f85d8c21e,3f71f5af-8bd3-fe23-4d09-0210257ad798,8e25f001-fe3b-3a8e-0754-b8a08d432526,future,2026-06-01,2026-06-01,1000,tenant_pays,cancelled,null,2026-05-27 11:37:27.685601+00,dfbde8b3-e621-44a0-905c-e17f85d8c21e,6beda474-f6a4-4444-aeee-9ac12318d295,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2fc42a4f-fe5a-ae08-0e4e-2c89ca71db85,85292340-826d-52c1-65c7-7f2a9eb2c2c4,14500,15500,1500,0,null,2026-05-27 11:38:19.076+00,null,8c42685b-f2df-4dec-96bd-0e77b715e33e
819161d6-99ca-4a6f-89a3-a85b513d0289,00000000-0000-0000-0000-000000000001,389859df-460c-4966-a71d-eb7bbebae67b,1fa23c51-df27-441b-b6f9-749824d586dc,a607e4b0-3364-b1fb-774e-01d67c4fcdf1,b67440c5-1089-ccdb-bb31-3211a4ee4d0e,immediate,2026-05-16,2026-05-16,1000,tenant_pays,completed,null,2026-05-17 06:41:03.349492+00,1fa23c51-df27-441b-b6f9-749824d586dc,28f1c8a3-249a-4338-a9c2-c9f51b3b5e20,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5d204545-2f72-b89b-3190-a826b5ab6512,9d5d0096-0b78-a663-1142-be871dfa2bda,14500,15500,1500,368,2026-05-17 06:41:03.115+00,null,8c42685b-f2df-4dec-96bd-0e77b715e33e,null
971e3298-8f91-40af-a5fb-5b13d136a37c,00000000-0000-0000-0000-000000000001,8709ca2e-a8a6-48a4-b8ce-e813c4796ab9,4c47b9e1-78f5-473f-99e9-31c4da4f0f0d,90eedc35-b872-5505-a86d-2824a91e518c,4afa5689-5806-e349-ab1d-a4358f44e1d6,immediate,2026-05-17,2026-05-17,1000,tenant_pays,completed,null,2026-05-17 10:31:16.012289+00,4c47b9e1-78f5-473f-99e9-31c4da4f0f0d,a6efc369-3910-43e4-b870-b5daf647ecd8,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,bc7f358d-0d6d-f95f-ff80-9089eefdef69,c17c5093-48b7-139f-ebfc-1cd33ef5179c,13500,14500,1500,1717,2026-05-17 10:31:16.317+00,null,8c42685b-f2df-4dec-96bd-0e77b715e33e,null
194b1018-f847-431e-889b-b75c6a3833a0,00000000-0000-0000-0000-000000000001,79d4d3fe-73c5-a965-030f-c60220ee20cb,ed99994f-80a9-48cc-afab-45db09c246e1,7aa135ce-55b9-8787-a51c-fa6c42aad3b2,a607e4b0-3364-b1fb-774e-01d67c4fcdf1,immediate,2026-05-23,2026-05-23,0,none,completed,null,2026-05-25 06:57:43.119985+00,ed99994f-80a9-48cc-afab-45db09c246e1,e1603fed-7593-4717-b5a0-f63c1e03483e,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,990e8a3e-a69c-7b31-f606-3eeb21e3d4c6,5d204545-2f72-b89b-3190-a826b5ab6512,14500,14500,0,9218,2026-05-25 06:57:44.774+00,null,8c42685b-f2df-4dec-96bd-0e77b715e33e,null
318252ac-7f90-4982-b37e-2af9c0f57cdf,00000000-0000-0000-0000-000000000001,edee54e5-b970-ea10-551f-b156c26d8f0a,ddc84784-c683-4996-b4e4-d17137b9a82d,f1cc5c44-ebb5-5f81-9dac-9887fb5bb58e,e0a547db-d8f2-1e21-a742-6f7c135bd802,future,2026-06-11,2026-06-11,1000,tenant_pays,cancelled,null,2026-05-27 07:16:54.70998+00,ddc84784-c683-4996-b4e4-d17137b9a82d,b7aceab0-4b39-4425-925f-8cd493190e5d,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,49ed1c8e-3653-c89b-ec74-16d8e20bb923,79853a4a-cb02-508c-e041-7e23378aec9c,14500,15500,1500,0,null,2026-05-27 07:18:29.186+00,null,f6623646-3abe-4faf-bff7-684ea1f04e96
91592a81-4b78-4dc6-8adf-90b5131a56a4,00000000-0000-0000-0000-000000000001,edee54e5-b970-ea10-551f-b156c26d8f0a,ddc84784-c683-4996-b4e4-d17137b9a82d,f1cc5c44-ebb5-5f81-9dac-9887fb5bb58e,e0a547db-d8f2-1e21-a742-6f7c135bd802,future,2026-06-12,2026-06-12,1000,tenant_pays,cancelled,null,2026-05-27 11:17:33.457589+00,ddc84784-c683-4996-b4e4-d17137b9a82d,281a86e5-c57b-4be4-ba14-3ddb980553ce,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,49ed1c8e-3653-c89b-ec74-16d8e20bb923,79853a4a-cb02-508c-e041-7e23378aec9c,14500,15500,1500,0,null,2026-05-27 11:17:54.413+00,null,f6623646-3abe-4faf-bff7-684ea1f04e96
ecb0c5ae-6aab-4e1b-a4e9-868e55b5159d,00000000-0000-0000-0000-000000000001,edee54e5-b970-ea10-551f-b156c26d8f0a,ddc84784-c683-4996-b4e4-d17137b9a82d,f1cc5c44-ebb5-5f81-9dac-9887fb5bb58e,db22043a-4435-6d25-c2e9-01dd93cc79a4,future,2026-06-11,2026-06-11,5000,tenant_pays,cancelled,null,2026-05-27 11:44:09.98413+00,ddc84784-c683-4996-b4e4-d17137b9a82d,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,49ed1c8e-3653-c89b-ec74-16d8e20bb923,79853a4a-cb02-508c-e041-7e23378aec9c,14500,19500,7500,0,null,2026-05-27 11:47:27.604+00,null,f6623646-3abe-4faf-bff7-684ea1f04e96
3080360e-24c1-47b9-b0fc-27bc87c99136,00000000-0000-0000-0000-000000000001,a267e3ee-ef69-4d54-8414-357c81b2eb3c,20a89758-648a-468f-afde-36d66ffa0044,51597632-5648-1987-017c-c65e2ad300f8,4692433b-f9b8-9bdd-a2ff-4cd11d36de58,future,2026-06-01,2026-05-01,1000,tenant_pays,completed,null,2026-05-31 06:09:38.101652+00,20a89758-648a-468f-afde-36d66ffa0044,4eb2b3b6-d5de-4190-81ab-e563885218a3,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,10c6863d-07c3-4fc4-94f9-6adc29157ce1,85292340-826d-52c1-65c7-7f2a9eb2c2c4,14500,15500,1500,0,2026-05-31 06:10:37.764+00,null,8c42685b-f2df-4dec-96bd-0e77b715e33e,null
c89934e5-2a45-4487-8b31-358488ed4698,00000000-0000-0000-0000-000000000001,de481a65-2fb4-4974-b7db-0ec990ea852d,dfbde8b3-e621-44a0-905c-e17f85d8c21e,3f71f5af-8bd3-fe23-4d09-0210257ad798,8e25f001-fe3b-3a8e-0754-b8a08d432526,future,2026-06-01,2026-05-01,1000,tenant_pays,completed,null,2026-05-30 11:27:01.453343+00,dfbde8b3-e621-44a0-905c-e17f85d8c21e,fea05c11-59c1-4026-b397-4565e58eca15,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2fc42a4f-fe5a-ae08-0e4e-2c89ca71db85,85292340-826d-52c1-65c7-7f2a9eb2c2c4,14500,15500,1500,0,2026-05-31 06:10:54.604+00,null,8c42685b-f2df-4dec-96bd-0e77b715e33e,null
8bf9e659-d3cb-4cf1-af63-4fa9b70cd5d5,00000000-0000-0000-0000-000000000001,080eae03-9f65-4515-aec2-8924472923dd,6b62e693-85c9-473d-a3a5-e0329b7dba62,5dd54516-df42-d086-0eef-3495660d438f,9803c12a-e08e-d213-5575-c44623241381,future,2026-06-01,2026-06-01,4000,tenant_pays,completed,null,2026-05-31 10:57:52.573908+00,6b62e693-85c9-473d-a3a5-e0329b7dba62,deef0c83-4c8c-46e7-bbae-139905f81a3c,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,dd96a329-ec95-e96a-1348-69d976f39cd4,fb5cedd6-2992-1c62-7fba-4a7a6b43b2ff,15500,19500,6000,202,2026-06-01 05:55:07.875+00,null,8c42685b-f2df-4dec-96bd-0e77b715e33e,null
efebb7f7-a09b-47be-8c43-707015cfaafa,00000000-0000-0000-0000-000000000001,1a3b6c74-26e1-7124-0b5c-7f783d71624d,3aaba622-f423-48be-b5c5-5516fd1498a3,717b9b58-969a-8452-088a-972edaf5da24,f64ad55d-d5e9-6b9e-9676-efeb66d20201,future,2026-07-01,2026-07-01,-2000,credit_tenant,completed,null,2026-05-31 10:47:26.792585+00,3aaba622-f423-48be-b5c5-5516fd1498a3,74d85a8c-cf99-492c-8656-d7bb8666ae7c,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,ffbd5fe0-d9b3-cb55-cfd7-2d72a3498109,dd96a329-ec95-e96a-1348-69d976f39cd4,15500,13500,-3000,0,2026-07-01 05:28:02.263+00,null,8c42685b-f2df-4dec-96bd-0e77b715e33e,null
12358067-393f-4f8c-8450-ad99dbb6a9f1,00000000-0000-0000-0000-000000000001,71a9340d-9832-4609-a110-d9b5aaffc020,c8d7a17b-b62f-41d7-8550-bfd1d1fec649,b943869b-b18f-a89f-0396-b63afbee28e9,235bd597-22a1-f0f2-0d40-a0a2f59f41fd,future,2026-07-10,2026-07-10,5000,tenant_pays,cancelled,null,2026-06-29 06:24:25.95471+00,c8d7a17b-b62f-41d7-8550-bfd1d1fec649,null,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,bc7f358d-0d6d-f95f-ff80-9089eefdef69,9d5d0096-0b78-a663-1142-be871dfa2bda,14500,19500,7500,0,null,2026-07-01 05:52:39.826+00,null,8c42685b-f2df-4dec-96bd-0e77b715e33e
