id,organization_id,code,name,account_type,normal_balance,parent_id,is_active,requires_party,requires_allotment,party_kind,description,created_at
cfe8c724-99af-428b-a0f6-302359f70a26,00000000-0000-0000-0000-000000000001,1000,Assets,ASSET,DEBIT,null,true,false,false,null,null,2026-04-25 10:03:17.881395+00
33992046-9ec4-4b9c-8451-9036cf91a986,00000000-0000-0000-0000-000000000001,1100,Bank & Cash,ASSET,DEBIT,cfe8c724-99af-428b-a0f6-302359f70a26,true,false,false,null,null,2026-04-25 10:03:17.881395+00
d1d469ca-7477-487f-b6b3-cb9536a97bac,00000000-0000-0000-0000-000000000001,1110,Cash on Hand,ASSET,DEBIT,33992046-9ec4-4b9c-8451-9036cf91a986,true,false,false,null,null,2026-04-25 10:03:17.881395+00
610973cb-a67b-44d2-a252-b7a80180d457,00000000-0000-0000-0000-000000000001,1120,Bank - Operating Account,ASSET,DEBIT,33992046-9ec4-4b9c-8451-9036cf91a986,true,false,false,null,null,2026-04-25 10:03:17.881395+00
619d1416-20dc-45a0-83b1-6e8180e208ab,00000000-0000-0000-0000-000000000001,1200,Accounts Receivable - Tenants,ASSET,DEBIT,cfe8c724-99af-428b-a0f6-302359f70a26,true,true,true,tenant,null,2026-04-25 10:03:17.881395+00
ad7dd148-3d02-465f-bdf7-e3e37ce580c4,00000000-0000-0000-0000-000000000001,1500,Property Assets,ASSET,DEBIT,cfe8c724-99af-428b-a0f6-302359f70a26,true,false,false,null,null,2026-04-25 10:03:17.881395+00
b6a14318-ecf4-43d1-844b-21d6df98ee7f,00000000-0000-0000-0000-000000000001,2000,Liabilities,LIABILITY,CREDIT,null,true,false,false,null,null,2026-04-25 10:03:17.881395+00
b21e04ed-5d41-43b5-af47-21fb7e505c59,00000000-0000-0000-0000-000000000001,2100,Tenant Deposits Held,LIABILITY,CREDIT,b6a14318-ecf4-43d1-844b-21d6df98ee7f,true,true,true,tenant,null,2026-04-25 10:03:17.881395+00
92a77b15-6c27-4a4f-b347-e181ae86f72e,00000000-0000-0000-0000-000000000001,2200,Owner Rent Payable,LIABILITY,CREDIT,b6a14318-ecf4-43d1-844b-21d6df98ee7f,true,true,false,owner,null,2026-04-25 10:03:17.881395+00
1a4e587d-8223-4a3b-8256-5832ce00e19d,00000000-0000-0000-0000-000000000001,2300,GST Payable,LIABILITY,CREDIT,b6a14318-ecf4-43d1-844b-21d6df98ee7f,true,false,false,null,null,2026-04-25 10:03:17.881395+00
543e71da-c2d5-4839-aeb9-793e2c39a8df,00000000-0000-0000-0000-000000000001,2400,Booking Advances,LIABILITY,CREDIT,b6a14318-ecf4-43d1-844b-21d6df98ee7f,true,true,true,tenant,null,2026-04-25 10:03:17.881395+00
78a4dae3-c966-472c-a19f-2d8e55e81066,00000000-0000-0000-0000-000000000001,2500,Accounts Payable - Vendors,LIABILITY,CREDIT,b6a14318-ecf4-43d1-844b-21d6df98ee7f,true,true,false,vendor,null,2026-04-25 10:03:17.881395+00
b601b2d2-78d9-4a12-803f-54ae4ea031cd,00000000-0000-0000-0000-000000000001,3000,Equity,EQUITY,CREDIT,null,true,false,false,null,null,2026-04-25 10:03:17.881395+00
824a725b-3820-4013-92e3-d86692151785,00000000-0000-0000-0000-000000000001,3100,Retained Earnings,EQUITY,CREDIT,b601b2d2-78d9-4a12-803f-54ae4ea031cd,true,false,false,null,null,2026-04-25 10:03:17.881395+00
ab529ed3-10da-476f-82b0-354eca080084,00000000-0000-0000-0000-000000000001,4000,Operating Income,INCOME,CREDIT,null,true,false,false,null,null,2026-04-25 10:03:17.881395+00
25bf35ce-58fa-415b-b1d4-b627357c38df,00000000-0000-0000-0000-000000000001,4100,Rental Income,INCOME,CREDIT,ab529ed3-10da-476f-82b0-354eca080084,true,false,false,null,null,2026-04-25 10:03:17.881395+00
f991f4bd-6d3c-4744-ae93-a084a036dabe,00000000-0000-0000-0000-000000000001,4200,Electricity Income,INCOME,CREDIT,ab529ed3-10da-476f-82b0-354eca080084,true,false,false,null,null,2026-04-25 10:03:17.881395+00
45811f76-4edf-464e-9407-2e66557dacb0,00000000-0000-0000-0000-000000000001,4300,Onboarding Fees,INCOME,CREDIT,ab529ed3-10da-476f-82b0-354eca080084,true,false,false,null,null,2026-04-25 10:03:17.881395+00
7f93e8d0-33ba-451d-b0e4-ae243324c10d,00000000-0000-0000-0000-000000000001,4400,Late Fees,INCOME,CREDIT,ab529ed3-10da-476f-82b0-354eca080084,true,false,false,null,null,2026-04-25 10:03:17.881395+00
0116f0df-f6b2-4101-a6d4-fefd2f39e6e2,00000000-0000-0000-0000-000000000001,4500,Exit Charges Income,INCOME,CREDIT,ab529ed3-10da-476f-82b0-354eca080084,true,false,false,null,null,2026-04-25 10:03:17.881395+00
4012ffcc-9bd0-4689-9986-16033cafbf6c,00000000-0000-0000-0000-000000000001,4600,Damages Recovery,INCOME,CREDIT,ab529ed3-10da-476f-82b0-354eca080084,true,false,false,null,null,2026-04-25 10:03:17.881395+00
93fce0a7-7c35-4f0a-be1b-3cc2c28fe38e,00000000-0000-0000-0000-000000000001,4900,Other Income,INCOME,CREDIT,ab529ed3-10da-476f-82b0-354eca080084,true,false,false,null,null,2026-04-25 10:03:17.881395+00
419ad0eb-734c-4119-8077-daa0718301f1,00000000-0000-0000-0000-000000000001,5000,Operating Expenses,EXPENSE,DEBIT,null,true,false,false,null,null,2026-04-25 10:03:17.881395+00
860aafc7-bdbb-43ac-ba99-706efa74c9ea,00000000-0000-0000-0000-000000000001,5100,Owner Rent Expense,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,true,false,false,null,null,2026-04-25 10:03:17.881395+00
d95c9317-9f29-4c53-a6e9-f606e23d15a7,00000000-0000-0000-0000-000000000001,5200,Maintenance & Repairs,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,true,false,false,null,null,2026-04-25 10:03:17.881395+00
022920c0-b83e-49c6-80d1-971aa3abcee0,00000000-0000-0000-0000-000000000001,5210,Maintenance - Plumbing,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,true,false,false,null,null,2026-04-25 10:03:17.881395+00
2af3e09f-f22b-4b02-b28f-68375401679f,00000000-0000-0000-0000-000000000001,5220,Maintenance - Electrical,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,true,false,false,null,null,2026-04-25 10:03:17.881395+00
011afb79-dfc9-4407-9d0b-9173431c57d3,00000000-0000-0000-0000-000000000001,5230,Maintenance - Carpentry,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,true,false,false,null,null,2026-04-25 10:03:17.881395+00
55d72f21-428b-4bea-bb98-3d36cb0b685b,00000000-0000-0000-0000-000000000001,5240,Maintenance - Appliances,EXPENSE,DEBIT,d95c9317-9f29-4c53-a6e9-f606e23d15a7,true,false,false,null,null,2026-04-25 10:03:17.881395+00
