id,organization_id,owner_id,property_id,contract_type,start_date,end_date,monthly_rent,revenue_share_percentage,security_deposit,lock_in_months,escalation_percentage,escalation_interval_months,payment_due_day,agreement_url,notes,status,created_at,property_tax_id,water_tax_details,payment_schedule,renewal_date,renewal_periods,ownership_doc_url,apartment_id,property_tax_amount,property_tax_frequency,water_tax_id,water_tax_amount,water_tax_frequency,rent_paid_in_advance,gst_info
031f0f90-16f1-46fa-80ba-abe15f729a16,00000000-0000-0000-0000-000000000001,5d35e189-54ab-5810-8c68-2fb35fd7e2c2,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-10-01,2030-02-28,70000,null,100000,36,5,12,9,null,null,active,2026-04-01 07:36:12.505441+00,null,null,monthly,2029-11-28,36,null,79853a4a-cb02-508c-e041-7e23378aec9c,0,yearly,null,0,yearly,false,null
2f09003a-4638-4f3c-a9e5-d8d80799236f,00000000-0000-0000-0000-000000000001,7061afaf-3809-debc-d8e0-41e9a2818ec9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,lease,2024-08-01,2026-07-31,33000,null,0,null,0,null,5,https://slljsigvfaxngpjaajjd.supabase.co/storage/v1/object/public/documents/owners/agreements/1775134817522-37skocp6k53.pdf,null,active,2026-04-02 13:01:52.291526+00,null,null,monthly,2026-04-30,36,null,86ad1ceb-8d81-a926-d998-3a2f1cafba06,0,yearly,null,0,yearly,false,null
a1e3decd-9a6c-4833-a74c-eb063a4274fe,00000000-0000-0000-0000-000000000001,2688c52b-16ca-7a88-b0d4-e0afce3e093a,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2025-04-01,2031-03-31,71500,null,0,null,15,36,7,null,null,active,2026-04-02 13:06:40.690897+00,null,null,monthly,2030-12-31,36,null,dd96a329-ec95-e96a-1348-69d976f39cd4,0,yearly,null,0,yearly,false,null
c891c252-5b33-45f7-b6a0-e2d8a435fd87,00000000-0000-0000-0000-000000000001,2688c52b-16ca-7a88-b0d4-e0afce3e093a,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2022-11-01,2025-03-31,68000,null,0,null,15,36,7,null,null,expired,2026-04-02 13:05:43.224695+00,null,null,monthly,2024-12-31,36,null,dd96a329-ec95-e96a-1348-69d976f39cd4,0,yearly,null,0,yearly,false,null
3bbf0b56-ddfd-4210-a421-ac9d3ca9aff0,00000000-0000-0000-0000-000000000001,2284d91b-9c6c-bb96-fbda-619b19c4b7d9,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2024-10-01,2030-09-30,35000,null,null,null,5,36,5,null,null,active,2026-04-02 13:33:52.289044+00,null,null,monthly,2030-06-30,36,null,8767525e-d22f-a295-bc29-ba104fdc589a,0,yearly,null,0,yearly,false,null
77a50e74-f957-47ab-80fa-a1dd6892be2e,00000000-0000-0000-0000-000000000001,c74440fb-27db-6976-9aad-5a9b38baa0d5,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,lease,2022-10-01,2030-10-31,61000,null,null,null,5,36,9,null,null,active,2026-04-02 13:36:03.036375+00,null,null,monthly,2030-07-31,0,null,dc4adc21-f501-0573-2e9a-d7bbbc89e5d6,0,yearly,null,0,yearly,false,null
33fa923f-0888-480f-acb5-90e4946851ec,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:34.821532+00,null,null,monthly,2031-12-31,0,null,2fc42a4f-fe5a-ae08-0e4e-2c89ca71db85,0,yearly,null,0,yearly,false,GST under RCM
9aec9e9e-f156-412d-b182-0df53151b4b7,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:35.667443+00,null,null,monthly,2031-12-31,0,null,5d204545-2f72-b89b-3190-a826b5ab6512,0,yearly,null,0,yearly,false,GST under RCM
eac90a5d-cfa3-464b-b0c6-4d9fe6a38c8c,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:36.265589+00,null,null,monthly,2031-12-31,0,null,417c9738-a0f7-5a00-1091-37a9fd083dd6,0,yearly,null,0,yearly,false,GST under RCM
ee30dce4-bbf9-45b7-90ad-da56b68fad13,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:36.878386+00,null,null,monthly,2031-12-31,0,null,82b270bf-e567-2deb-5ef3-495baafd7645,0,yearly,null,0,yearly,false,GST under RCM
6b1ff475-36f0-4885-b5cb-b2c912f0b2f3,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:37.503164+00,null,null,monthly,2031-12-31,0,null,323c0dff-be56-f6ee-f053-ee37de806dea,0,yearly,null,0,yearly,false,GST under RCM
314aec56-abdf-4c25-a087-f44267a82ddc,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:38.043044+00,null,null,monthly,2031-12-31,0,null,aa73cade-c28c-dc5b-5980-55801ea0d415,0,yearly,null,0,yearly,false,GST under RCM
ed4bd990-0380-4f6d-a042-2fffddd4e819,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:38.447483+00,null,null,monthly,2031-12-31,0,null,49ed1c8e-3653-c89b-ec74-16d8e20bb923,0,yearly,null,0,yearly,false,GST under RCM
3012c7be-d4d8-408c-8380-eb4480e73ed8,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:38.986193+00,null,null,monthly,2031-12-31,0,null,1b4d1066-8fe4-199b-7b3b-39e4bded9714,0,yearly,null,0,yearly,false,GST under RCM
c23563b5-fb4a-4c80-b469-9640e9b31369,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:39.392941+00,null,null,monthly,2031-12-31,0,null,9d5d0096-0b78-a663-1142-be871dfa2bda,0,yearly,null,0,yearly,false,GST under RCM
7e23c25f-bfbf-42bc-8984-dfef2d241237,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:39.768574+00,null,null,monthly,2031-12-31,0,null,fb5cedd6-2992-1c62-7fba-4a7a6b43b2ff,0,yearly,null,0,yearly,false,GST under RCM
94fd93be-fd9d-4d2e-8701-01025ca316d6,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:40.204678+00,null,null,monthly,2031-12-31,0,null,233cca0e-efcf-e631-d2fc-9997a6ba5706,0,yearly,null,0,yearly,false,GST under RCM
d74f74a7-e71c-4b40-917d-511542f450a1,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:40.954807+00,null,null,monthly,2031-12-31,0,null,03edc7c5-4c46-b55e-523d-9fb7be29910b,0,yearly,null,0,yearly,false,GST under RCM
64e36c58-9017-4e10-97eb-a6f8796f1db5,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:43.184054+00,null,null,monthly,2031-12-31,0,null,bc7f358d-0d6d-f95f-ff80-9089eefdef69,0,yearly,null,0,yearly,false,GST under RCM
e01a2103-73b3-4203-a526-ad2b9956c425,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:44.998137+00,null,null,monthly,2031-12-31,0,null,10c6863d-07c3-4fc4-94f9-6adc29157ce1,0,yearly,null,0,yearly,false,GST under RCM
343cde5e-8118-4609-9a03-40dea93c30c9,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:41.445972+00,null,null,monthly,2031-12-31,0,null,85292340-826d-52c1-65c7-7f2a9eb2c2c4,0,yearly,null,0,yearly,false,GST under RCM
b38a8c36-b90b-4b68-a710-8efd3e0f3174,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:42.061358+00,null,null,monthly,2031-12-31,0,null,bde00681-ebfc-ef38-4f6e-4906a012de6b,0,yearly,null,0,yearly,false,GST under RCM
b028a21e-ed50-4c9f-938a-9a826778ee11,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:45.373867+00,null,null,monthly,2031-12-31,0,null,d2298bb8-a5e5-735a-c8ca-9b18c7daacd6,0,yearly,null,0,yearly,false,GST under RCM
6862e722-a6b4-4e0b-b0de-062dfab32ff1,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:42.554245+00,null,null,monthly,2031-12-31,0,null,ffbd5fe0-d9b3-cb55-cfd7-2d72a3498109,0,yearly,null,0,yearly,false,GST under RCM
e4d5e022-5512-4132-88c7-d3f89894a455,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:44.559323+00,null,null,monthly,2031-12-31,0,null,990e8a3e-a69c-7b31-f606-3eeb21e3d4c6,0,yearly,null,0,yearly,false,GST under RCM
4b82cc3c-ee9c-4679-8dcb-e13dbeb0a087,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:43.586604+00,null,null,monthly,2031-12-31,0,null,b0875d50-a469-821b-57c3-03ac62809198,0,yearly,null,0,yearly,false,GST under RCM
8773db85-44df-48a3-9a8c-1aa71bc69eb0,00000000-0000-0000-0000-000000000001,84ae90b8-a331-26a2-08d0-ab61c4ef3cfc,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2023-04-01,2032-03-31,0,null,null,null,5,36,5,null,null,active,2026-04-17 12:52:44.170937+00,null,null,monthly,2031-12-31,0,null,77c3a6fd-4651-d880-29aa-abd19c8324df,0,yearly,null,0,yearly,false,GST under RCM
bebcf702-74d3-43a4-81cf-1fd44770c4e2,00000000-0000-0000-0000-000000000001,edbfeb2a-e50b-c136-14d7-79f03c54e839,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2024-09-01,2027-08-31,50000,null,null,null,5,12,9,null,null,active,2026-04-17 12:55:02.988586+00,null,null,monthly,2027-05-31,0,null,b0d4d2c8-f6ee-bc16-ffd7-fc33c8db8571,0,yearly,null,0,yearly,false,GST under RCM
395ae601-766c-4907-beac-34f5d56108f6,00000000-0000-0000-0000-000000000001,edbfeb2a-e50b-c136-14d7-79f03c54e839,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,rental,2024-09-01,2027-08-31,50000,null,null,null,5,12,9,null,null,active,2026-04-17 12:55:04.761216+00,null,null,monthly,2027-05-31,0,null,0a839c14-2a88-9896-c2f2-8d51fe610405,0,yearly,null,0,yearly,false,GST under RCM
