id,ticket_id,organization_id,resolution_type,service_type,vendor_id,vendor_name_manual,items_used,total_parts_cost,total_labour_cost,total_cost,closure_summary,resolved_at,resolved_by,created_at,bank_account_id,payment_date,payment_reference_no,proof_of_purchase_url,proof_of_payment_url,actual_items_used,actual_total_cost,diagnostic_estimated_cost,updated_at
498db7d1-6417-42fe-89f0-cc686eb74e88,912ad16c-a1c2-48c6-b445-1685778c106f,00000000-0000-0000-0000-000000000001,inhouse,condition_service,null,null,[],0,0,0,AC general service and remote working well. It is cooling . Work done,2026-04-22 10:33:29.725593+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-22 10:33:29.725593+00,null,null,null,null,null,[],0,null,2026-06-09 05:54:53.679362+00
696bfae3-1e4f-429b-adfa-9ae94f31c8ec,a7e318bc-fde2-4691-a766-fbdf9b064f4d,00000000-0000-0000-0000-000000000001,inhouse,repair,null,null,[],0,0,0,A c not water leaking,2026-06-18 07:39:38.449321+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-06-18 07:39:38.449321+00,null,null,null,null,null,[],0,null,2026-06-18 07:39:38.449321+00
3f22d0a7-c44e-4b71-8c94-6c4ee9563e19,2403da27-4924-4f3d-8754-1a476c834283,00000000-0000-0000-0000-000000000001,inhouse,condition_service,null,null,[],0,0,0,House keeping Bathroom  cleaning work done,2026-05-19 07:07:48.109636+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-05-19 07:07:48.109636+00,null,null,null,null,null,[],0,null,2026-05-19 07:07:52.645714+00
22793f5a-d8e4-4450-8331-af6760efcabc,a2c8ff46-ac0a-424a-bcae-582dfd6db28e,00000000-0000-0000-0000-000000000001,inhouse,replaced,null,null,[],0,0,0,The mattress has been replaced.,2026-04-17 10:42:21.591228+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-17 10:42:21.591228+00,null,null,null,null,null,null,null,null,2026-04-28 08:59:46.424551+00
feb1ab37-4527-455e-95a9-1f7e9566a7fa,3145b7a3-f9b8-4b69-be75-cf0d3ead40f9,00000000-0000-0000-0000-000000000001,inhouse,repair,null,null,[],0,0,0,,2026-04-18 12:30:36.928068+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-18 12:30:36.928068+00,null,null,null,null,null,null,null,null,2026-04-28 08:59:46.424551+00
c9ea238a-cd91-4802-b04a-00aa4b129d28,d92a4b99-dbe6-4eed-81d5-fa375a71c0f8,00000000-0000-0000-0000-000000000001,inhouse,repair,null,null,[],0,0,0,,2026-04-20 12:11:36.792526+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-20 12:11:36.792526+00,null,null,null,null,null,null,null,null,2026-04-28 08:59:46.424551+00
91393abd-f7c7-48cc-8855-ece3c837dc26,57973195-46ef-4872-a4bc-28f3eab8fd71,00000000-0000-0000-0000-000000000001,inhouse,repair,null,null,[],0,0,0,,2026-04-20 12:15:22.054549+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-20 12:15:22.054549+00,null,null,null,null,null,null,null,null,2026-04-28 08:59:46.424551+00
49c9c787-8b70-44aa-a101-8f91f64ab57d,3292aeda-c013-4eff-8508-3770a7fc120e,00000000-0000-0000-0000-000000000001,inhouse,repair,null,null,[],0,0,0,C43-C2 AC water leaking. Work done,2026-04-20 12:18:15.18478+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-20 12:18:15.18478+00,null,null,null,null,null,null,null,null,2026-04-28 08:59:46.424551+00
d8bf8dbc-9628-421a-9f1a-12befff72a62,f0de0900-6a45-49e5-87a7-f90468c0021f,00000000-0000-0000-0000-000000000001,inhouse,repair,null,null,[],0,0,0,,2026-04-21 19:35:53.575749+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-21 19:35:53.575749+00,null,null,null,null,null,null,null,null,2026-04-28 08:59:46.424551+00
30563c48-85f0-4f92-868c-48c579ce857d,76d61ead-a174-4c32-b826-99c5a6277e1f,00000000-0000-0000-0000-000000000001,inhouse,repair,null,null,[],0,0,0,,2026-04-21 19:36:47.006227+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-21 19:36:47.006227+00,null,null,null,null,null,null,null,null,2026-04-28 08:59:46.424551+00
14d341a1-dd25-4abb-b151-068c876acc13,872eb121-c785-416c-b0f2-20227d911d53,00000000-0000-0000-0000-000000000001,inhouse,repair,null,null,[],0,0,0,,2026-04-22 04:38:58.767921+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-22 04:38:58.767921+00,null,null,null,null,null,null,null,null,2026-04-28 08:59:46.424551+00
2993020e-528d-4e6a-b434-14aac2a77854,fe68f9b2-11d4-4da9-8573-21a5fad9d663,00000000-0000-0000-0000-000000000001,inhouse,repair,null,null,[],0,0,0,"Work done ",2026-04-22 07:36:24.786641+00,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-22 07:36:24.786641+00,null,null,null,null,null,null,null,null,2026-04-28 08:59:46.424551+00
5d01bd3c-3ebf-48cd-bb94-5e926cbecf40,0a249101-dd5f-4a12-9c3a-07a92226137a,00000000-0000-0000-0000-000000000001,inhouse,repair,null,null,[],0,0,0,,2026-04-22 07:50:51.097494+00,8c42685b-f2df-4dec-96bd-0e77b715e33e,2026-04-22 07:50:51.097494+00,null,null,null,null,null,null,null,null,2026-04-28 08:59:46.424551+00
82efb062-c995-479e-8e37-27df3f9a739e,cc255e0c-64bf-46b2-bb50-08ab25d1c967,00000000-0000-0000-0000-000000000001,inhouse,repair,null,null,[],0,0,0,,2026-04-22 07:53:39.968412+00,8c42685b-f2df-4dec-96bd-0e77b715e33e,2026-04-22 07:53:39.968412+00,null,null,null,null,null,null,null,null,2026-04-28 08:59:46.424551+00
