id,ticket_id,organization_id,item_name,cost_type,quantity,unit_price,total,status,submitted_by,approved_by,decline_reason,approved_at,created_at,item_type,price,updated_at,is_auto_approved,auto_approval_reason,repeat_job_alert,repeat_job_previous_ticket_id
dd62b981-bc3b-4625-a60d-1d181c69902f,7b5a60ef-d1f2-4f62-943f-59506796ec43,00000000-0000-0000-0000-000000000001,"Lock ",parts,1,50,50,approved,bd081ad6-5fe3-4c1d-a919-81b1055efa19,null,null,2026-06-03 04:26:29.241+00,2026-06-03 04:26:29.275671+00,null,null,2026-06-03 04:26:29.793344+00,true,Auto-approved: total ₹50 is under ₹1000 threshold,false,null
59b0c671-477f-4bec-b331-41f199de8f7b,a3081c04-706b-45c9-9a10-6ee5edce0401,00000000-0000-0000-0000-000000000001,board Change,parts,1,1960,1960,pending,8c42685b-f2df-4dec-96bd-0e77b715e33e,null,null,null,2026-06-15 08:42:15.727225+00,null,null,2026-06-15 08:42:15.727225+00,false,null,false,null
8bd58ecc-8da2-409c-b311-604275f53bae,a4a43033-febe-41a9-bbdd-2cfc86099aef,00000000-0000-0000-0000-000000000001,Closet seat cover,parts,1,210,210,approved,9348f230-33b9-441c-b9ef-48a54e9d7407,null,null,2026-04-30 09:21:01.203+00,2026-04-30 09:20:00.084926+00,null,null,2026-04-30 09:21:01.341745+00,true,Auto-approved: total ₹525 is under ₹1000 threshold,false,null
945c68b7-3fb4-4934-828c-38cc5cb1d8fb,a4a43033-febe-41a9-bbdd-2cfc86099aef,00000000-0000-0000-0000-000000000001,Silicone sealant,parts,1,105,105,approved,9348f230-33b9-441c-b9ef-48a54e9d7407,null,null,2026-04-30 09:21:01.203+00,2026-04-30 09:20:00.744084+00,null,null,2026-04-30 09:21:01.341745+00,true,Auto-approved: total ₹525 is under ₹1000 threshold,false,null
e6a0201e-3147-4215-8b73-bf48dfe8994b,a4a43033-febe-41a9-bbdd-2cfc86099aef,00000000-0000-0000-0000-000000000001,Closet seat cover,parts,1,525,525,approved,9348f230-33b9-441c-b9ef-48a54e9d7407,null,null,2026-04-30 09:21:01.203+00,2026-04-30 09:20:50.651464+00,null,null,2026-04-30 09:21:01.341745+00,true,Auto-approved: total ₹525 is under ₹1000 threshold,false,null
41af15ad-0e63-4872-a122-6755a332090c,195b33de-b770-4b0e-bd94-babf652a0704,00000000-0000-0000-0000-000000000001,Materials & parts,parts,1,105,105,approved,9348f230-33b9-441c-b9ef-48a54e9d7407,null,null,2026-05-06 10:03:10.411+00,2026-05-06 10:03:07.636583+00,null,null,2026-05-06 10:03:10.635745+00,true,Auto-approved: total ₹175 is under ₹1000 threshold,false,null
8abad780-e61a-48e5-9fb9-99e10a58d45f,fecc3070-4c29-4249-ade0-1c9eae2687c2,00000000-0000-0000-0000-000000000001,pcb board service,parts,1,1800,1800,pending,e4897d45-cba7-4d8a-ade0-d6014ccba68d,null,null,null,2026-04-26 10:08:48.223642+00,null,null,2026-04-26 10:08:48.223642+00,false,null,false,null
4cb9e34d-75c1-480e-9f55-e32ed816d3ea,195b33de-b770-4b0e-bd94-babf652a0704,00000000-0000-0000-0000-000000000001,Labour charges,labor,1,70,70,approved,9348f230-33b9-441c-b9ef-48a54e9d7407,null,null,2026-05-06 10:03:10.411+00,2026-05-06 10:03:08.667871+00,null,null,2026-05-06 10:03:10.635745+00,true,Auto-approved: total ₹175 is under ₹1000 threshold,false,null
f5a48e48-0183-4fa6-b42e-4d70e6d51b06,3452ec27-2423-4f26-b3e8-61abde88cb0d,00000000-0000-0000-0000-000000000001,indesion,parts,1,1948,1948,approved,8c42685b-f2df-4dec-96bd-0e77b715e33e,9348f230-33b9-441c-b9ef-48a54e9d7407,null,2026-05-26 07:55:37.574+00,2026-05-26 07:52:53.776566+00,null,null,2026-05-26 07:55:37.960248+00,false,null,false,null
7c3bc09b-f9e6-4868-8a6c-a79d35081024,8227d1f8-5ed9-4eb2-b9fd-d6fc0c9423f4,00000000-0000-0000-0000-000000000001,industion,parts,1,1948,1948,pending,8c42685b-f2df-4dec-96bd-0e77b715e33e,null,null,null,2026-05-26 08:31:25.918879+00,null,null,2026-05-26 08:31:25.918879+00,false,null,false,null
