id,organization_id,name,icon,priority,sla_hours,created_at
a5831922-eaeb-48c2-941c-fd96fae8813d,00000000-0000-0000-0000-000000000001,AC Issues,❄️,high,12,2026-03-16 17:36:58.873783+00
ec405235-70e9-407e-9aa2-b877f8f36af8,00000000-0000-0000-0000-000000000001,Fridge Issues,🧊,medium,12,2026-03-16 17:36:58.873783+00
f3614e6e-8394-40cd-bbb3-b1f78e9f17c2,00000000-0000-0000-0000-000000000001,Billing Issues,🔧,low,24,2026-03-16 17:36:58.873783+00
abc84f5b-a950-406e-ab46-cefbe11df925,00000000-0000-0000-0000-000000000001,Cleaning Issues,🔧,medium,4,2026-03-16 17:36:58.873783+00
caf6381e-5189-4c1f-bf0a-4dfd99d9b9e7,00000000-0000-0000-0000-000000000001,Washing machine Issue,🧺,High,24,2026-04-08 17:39:27.806614+00
28158382-d5c1-436c-927b-3e3d9855c2af,00000000-0000-0000-0000-000000000001,Electrical Issues,🔧,high,6,2026-03-16 17:36:58.873783+00
e2aa2aaa-8af6-4807-9a4e-7665c5421eed,00000000-0000-0000-0000-000000000001,Furniture,🛏️,medium,24,2026-03-24 05:09:25.292038+00
c5f1c3c0-af88-4c54-9730-ebffed128bc9,00000000-0000-0000-0000-000000000001,Kitchen Equipment,🍳,medium,12,2026-03-16 17:36:58.873783+00
01208ba1-4225-4a61-be39-3afe03dad690,00000000-0000-0000-0000-000000000001,RO Water Issues,💧,medium,6,2026-03-16 17:36:58.873783+00
47389994-b201-4bb1-bf91-8bce4dbde510,00000000-0000-0000-0000-000000000001,Other,🔧,low,24,2026-03-16 17:36:58.873783+00
a25aca1b-211b-41d3-ab08-78bd2b9541e8,00000000-0000-0000-0000-000000000001,Toilet Issues,🚰,high,4,2026-03-16 17:36:58.873783+00
7917cc13-aaca-4558-a2c2-8be5cd8fc159,00000000-0000-0000-0000-000000000001,Internet Issues,📶,medium,6,2026-03-16 17:36:58.873783+00
d76dd3bd-ccb7-4991-a01f-ce158dfe908e,00000000-0000-0000-0000-000000000001,Plumbing,🔧,medium,24,2026-03-24 05:09:25.292038+00
54bc37a9-ef71-4e18-b896-593f71b161fa,00000000-0000-0000-0000-000000000001,Heater Issues,💧,high,12,2026-03-16 17:36:58.873783+00
