id,issue_type_id,organization_id,name,icon,description,sort_order,created_at
e109cefc-4edf-4bf4-83cb-f7c922796e99,a5831922-eaeb-48c2-941c-fd96fae8813d,00000000-0000-0000-0000-000000000001,AC not cooling,thermometer-snowflake,AC is running but not producing cold air,1,2026-03-18 07:58:58.536997+00
afb0f2f2-47d7-43fa-82df-d446fbfb39a3,a5831922-eaeb-48c2-941c-fd96fae8813d,00000000-0000-0000-0000-000000000001,AC leaking water,droplets,Water is dripping from the AC unit,2,2026-03-18 07:58:58.536997+00
54367049-4663-40ed-a4b3-c90648bb7176,a5831922-eaeb-48c2-941c-fd96fae8813d,00000000-0000-0000-0000-000000000001,AC making noise,volume-2,AC is producing unusual or loud noises,3,2026-03-18 07:58:58.536997+00
33d9b777-c368-4a29-888f-165647b36f1d,a5831922-eaeb-48c2-941c-fd96fae8813d,00000000-0000-0000-0000-000000000001,AC not turning on,zap,AC unit does not power on at all,4,2026-03-18 07:58:58.536997+00
bb078d1e-7fdf-4f55-8de2-9ea21472e686,a5831922-eaeb-48c2-941c-fd96fae8813d,00000000-0000-0000-0000-000000000001,AC remote not working,fan,Remote control is unresponsive or lost,5,2026-03-18 07:58:58.536997+00
9c40ccdb-ad74-4dbb-a859-3e04a9a8f08b,a5831922-eaeb-48c2-941c-fd96fae8813d,00000000-0000-0000-0000-000000000001,AC bad smell,wind,Foul smell coming from the AC when running,6,2026-03-18 07:58:58.536997+00
d93f6f5b-4cea-433c-820c-551712969416,54bc37a9-ef71-4e18-b896-593f71b161fa,00000000-0000-0000-0000-000000000001,Heater not heating,flame,Heater is on but not producing hot water/air,1,2026-03-18 07:58:58.536997+00
a8245672-4008-49e9-be5c-834cec0b6688,54bc37a9-ef71-4e18-b896-593f71b161fa,00000000-0000-0000-0000-000000000001,Heater leaking,droplets,Water leaking from the heater unit,2,2026-03-18 07:58:58.536997+00
8f9cc71d-497f-4590-8fb0-9f473cbbb419,54bc37a9-ef71-4e18-b896-593f71b161fa,00000000-0000-0000-0000-000000000001,Heater tripping,zap,Heater trips the circuit breaker when turned on,3,2026-03-18 07:58:58.536997+00
19a10abb-3aef-4e85-9348-19b964b0c9ce,54bc37a9-ef71-4e18-b896-593f71b161fa,00000000-0000-0000-0000-000000000001,Heater making noise,volume-2,Unusual sounds from the heater during operation,4,2026-03-18 07:58:58.536997+00
