id,organization_id,category_id,name,expected_life_months,depreciation_method,depreciation_years,maintenance_cycle_months,replacement_cost_estimate,created_at
b1000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000001,Air Conditioner,120,straight_line,10.00,6,32000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000002,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000001,Washing Machine,84,straight_line,7.00,12,15000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000003,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000001,Refrigerator,120,straight_line,10.00,12,15000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000004,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000001,Microwave Oven,84,straight_line,7.00,12,6000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000005,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000001,Induction Stove,60,straight_line,5.00,12,2000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000006,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000003,ACCL Device,60,straight_line,5.00,24,9000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000007,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000005,RO Water Purifier,36,straight_line,3.00,6,7000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000008,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Cot (Bed Frame),120,straight_line,10.00,24,6500.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000009,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Mattress,60,straight_line,5.00,12,5000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000010,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Wardrobe,120,straight_line,10.00,24,5000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000011,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Study Table,120,straight_line,10.00,24,3000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000012,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Sofa,120,straight_line,10.00,24,8000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000013,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Dining Table,120,straight_line,10.00,24,5000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000014,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Center Table,120,straight_line,10.00,24,1500.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000015,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000002,Office Table,120,straight_line,10.00,24,4000.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000016,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000004,Pillow,24,straight_line,2.00,12,300.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000017,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000004,Bedsheet & Pillow Cover,12,straight_line,1.00,6,400.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000018,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000004,Curtain,36,straight_line,3.00,12,300.00,2026-04-08 17:42:38.607307+00
b1000000-0000-0000-0000-000000000019,00000000-0000-0000-0000-000000000001,a1000000-0000-0000-0000-000000000004,Bedside Table,120,straight_line,10.00,24,1000.00,2026-04-08 17:42:38.607307+00
