organization_id,property_id,month,account_code,account_name,expense
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-02-01,5260,Maintenance - HVAC,2050.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-05-01,5800,Marketing & Tenant Acquisition,1.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-05-01,5260,Maintenance - HVAC,11000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-02-01,5100,Owner Rent Expense,697725.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-03-01,5630,Bank Charges & CC Fees,-804.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-01-01,5100,Owner Rent Expense,697725.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-05-01,5150,Electricity Payments,490161.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-06-01,5290,Maintenance - Other,890.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-03-01,5630,Bank Charges & CC Fees,-2494.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-04-01,5240,Maintenance - Appliances,1200.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-03-01,5100,Owner Rent Expense,474500.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-04-01,5260,Maintenance - HVAC,12000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-05-01,5100,Owner Rent Expense,303000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-04-01,5260,Maintenance - HVAC,33850.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-05-01,5630,Bank Charges & CC Fees,-52.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-02-01,5100,Owner Rent Expense,129000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5240,Maintenance - Appliances,472.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5630,Bank Charges & CC Fees,-52.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-04-01,5100,Owner Rent Expense,303000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5260,Maintenance - HVAC,39450.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-11-01,5100,Owner Rent Expense,474500.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-07-01,5220,Maintenance - Electrical,3000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-08-01,5100,Owner Rent Expense,478000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2024-11-01,5260,Maintenance - HVAC,7350.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-01-01,5260,Maintenance - HVAC,3071.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-03-01,5260,Maintenance - HVAC,6490.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2025-03-01,5260,Maintenance - HVAC,16250.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2023-04-01,5100,Owner Rent Expense,129000.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-03-01,5290,Maintenance - Other,14635.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-04-01,5100,Owner Rent Expense,697725.00
00000000-0000-0000-0000-000000000001,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,2026-03-01,5220,Maintenance - Electrical,600.00
