organization_id,tenant_id,allotment_id,ar_balance,deposit_held,booking_advance,net_dues,last_payment_date,last_charge_date,charge_count,payment_count
00000000-0000-0000-0000-000000000001,8996897f-e383-4fca-87f9-654e1b14b3c2,31c9b57f-ed29-48c0-8c4e-e04fee5d8436,0.00,23250.00,0,0.00,2026-08-03,2026-08-01,8,7
00000000-0000-0000-0000-000000000001,d1e7314f-a799-1441-8adc-a48db20e93da,f9231162-ec72-4793-bcfd-ea671ac0d111,0.00,0.00,0,0.00,2025-10-01,2025-11-01,7,7
00000000-0000-0000-0000-000000000001,9eb73523-a830-4796-9317-1a3f4e9e7254,af77c84c-c34c-43ff-a61d-62b390f12d3f,3640.00,1500.00,0,3640.00,2026-08-05,2026-08-01,4,2
00000000-0000-0000-0000-000000000001,8334eb99-0bc0-3c80-9ff8-83bea3d7b5ef,b5ab9368-7ed0-44f4-8281-64ccbef2f8b0,0.00,0.00,0,0.00,2024-06-27,2026-06-08,7,6
00000000-0000-0000-0000-000000000001,1a3b6c74-26e1-7124-0b5c-7f783d71624d,3aaba622-f423-48be-b5c5-5516fd1498a3,2360.00,23250.00,0,2360.00,2026-06-30,2026-07-01,11,10
00000000-0000-0000-0000-000000000001,5e6b35c4-2b97-ea86-e422-f03c332f74be,8954e026-2f8f-4c54-96d8-8b5519d62928,0.00,0.00,0,0.00,2025-10-06,2025-10-01,6,6
00000000-0000-0000-0000-000000000001,a66a39a1-af53-6290-1e0b-7fc51cc20608,b068372f-b741-47ab-b7ad-ce801583b68d,0.00,0,0,0.00,2025-05-13,2023-03-01,1,1
00000000-0000-0000-0000-000000000001,3e50af3d-452f-d098-b3bc-3c2a64576d55,6eae3c53-9212-4814-b991-b284ea8da158,1000.00,0.00,0,1000.00,2025-10-07,2026-07-24,8,7
00000000-0000-0000-0000-000000000001,65dd3a53-9f8a-4d86-8de1-c52a46dcb5cf,34b068b8-ff44-4f19-bc55-ff1ccc2bcad5,0.00,23250.00,0,0.00,2026-08-01,2026-08-01,3,2
00000000-0000-0000-0000-000000000001,03ce56c0-8798-b95d-7125-311b80363e74,90df3267-4239-48a4-89aa-4a61e24239bc,0.00,20250.00,0,0.00,2026-08-07,2026-08-01,24,23
00000000-0000-0000-0000-000000000001,f59fa4ad-6dca-c7e7-d459-5326609a6412,22fa5986-8a5e-46e5-8860-bcd0d2050e7e,0.00,23250.00,0,0.00,2026-08-07,2026-08-01,9,7
00000000-0000-0000-0000-000000000001,6c0320d8-817b-ea7e-4d60-48afb8d17cba,8d1541fa-8ce0-467b-90c0-527766d7c703,0.00,0.00,0,0.00,2025-10-16,2025-11-01,6,7
00000000-0000-0000-0000-000000000001,d178a884-0bd1-601d-4cd1-042bac71c6db,f775eabb-5fcf-4725-8ffa-808159d48485,0.00,0,0,0.00,2026-07-21,2026-05-01,8,13
00000000-0000-0000-0000-000000000001,9e64e0fa-e34a-1c76-8e4a-1452643fab9a,c60e7351-900f-4499-a207-99f3acb1ba49,0.00,0.00,0,0.00,2025-08-06,2025-09-01,17,17
00000000-0000-0000-0000-000000000001,79d4d3fe-73c5-a965-030f-c60220ee20cb,ed99994f-80a9-48cc-afab-45db09c246e1,-4210.00,21750.00,0,-4210.00,2026-05-25,2026-05-01,12,12
00000000-0000-0000-0000-000000000001,5a1e4739-df51-1e97-95c7-31602fc06832,ab42acef-df0d-4f2b-9def-a961cdf6c003,0.00,0.00,0,0.00,2025-04-30,2025-05-01,13,13
00000000-0000-0000-0000-000000000001,618f174c-7c45-cb54-907b-cacc78483918,19cc5bbe-1012-4cbe-bea4-9ed7f1aa163e,0.00,28500.00,0,0.00,2026-08-06,2026-08-01,11,9
00000000-0000-0000-0000-000000000001,af8d560f-407a-4e9b-49e9-88f54d8671f4,56e6630d-239f-4544-99e4-87ae533ed05a,0.00,0.00,0,0.00,2026-07-04,2026-06-30,14,14
