organization_id,tenant_id,allotment_id,entry_date,posted_at,journal_entry_id,is_reversal_of,source_table,source_id,description,account_code,account_name,debit,credit,running_balance,memo,property_id,apartment_id,bed_id
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,2025-08-01,2026-07-24 12:25:16.045309+00,a757358f-0f2b-4798-a55b-5ebbe6983f19,null,invoices,7550925a-9eba-430c-928d-76d65aaeeddf,IMPORT/25-08/00002-4 (2025-08),1200,Accounts Receivable - Tenants,5500.00,0.00,5500.00,IMPORT/25-08/00002-4 (2025-08),5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,79853a4a-cb02-508c-e041-7e23378aec9c,e0a547db-d8f2-1e21-a742-6f7c135bd802
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,2025-08-08,2026-07-24 12:25:19.925633+00,bab54d38-d7e0-44b4-af30-40d6947e972c,null,receipts,8cf9a6e5-21de-4f28-b5b9-9ccaa270f9ff,IMPORT/R25-08/00007-4 payment to AR,1200,Accounts Receivable - Tenants,0.00,3570.00,1930.00,IMPORT/R25-08/00007-4 payment to AR,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,79853a4a-cb02-508c-e041-7e23378aec9c,e0a547db-d8f2-1e21-a742-6f7c135bd802
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,2025-08-25,2026-07-24 12:25:16.045309+00,a5346291-3647-4d1c-b678-77f3e6d0b478,null,invoices,9b27df5a-5e31-434d-be5c-afd93e9dc920,IMPORT/25-08/00001-4 (2025-08),1200,Accounts Receivable - Tenants,2250.00,0.00,4180.00,IMPORT/25-08/00001-4 (2025-08),5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,79853a4a-cb02-508c-e041-7e23378aec9c,e0a547db-d8f2-1e21-a742-6f7c135bd802
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,2025-08-25,2026-07-24 12:25:19.925633+00,7d74fd82-4475-4b75-8ae3-0997d3fb08fa,null,receipts,e5ce0802-c914-445f-ae58-ad9263ae03c1,IMPORT/R25-08/00009-4 payment to AR,1200,Accounts Receivable - Tenants,0.00,726.00,3454.00,IMPORT/R25-08/00009-4 payment to AR,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,79853a4a-cb02-508c-e041-7e23378aec9c,e0a547db-d8f2-1e21-a742-6f7c135bd802
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,2025-08-25,2026-07-24 12:25:19.925633+00,37578d59-241c-432b-aed1-005cc4a2a616,null,receipts,cc91bd69-a14d-4a1f-814f-0476eaca14e8,IMPORT/R25-08/00010-4 payment to AR,1200,Accounts Receivable - Tenants,0.00,1930.00,1524.00,IMPORT/R25-08/00010-4 payment to AR,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,79853a4a-cb02-508c-e041-7e23378aec9c,e0a547db-d8f2-1e21-a742-6f7c135bd802
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,2025-08-25,2026-07-24 12:25:19.925633+00,596f98ae-1811-4c11-aa39-6f82c75c26a5,null,receipts,efaa0317-2f04-44eb-bdbc-e2b2f001b36a,IMPORT/R25-08/00008-4 payment to AR,1200,Accounts Receivable - Tenants,0.00,2250.00,-726.00,IMPORT/R25-08/00008-4 payment to AR,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,79853a4a-cb02-508c-e041-7e23378aec9c,e0a547db-d8f2-1e21-a742-6f7c135bd802
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,2025-09-01,2026-07-24 12:25:16.045309+00,044ab66e-0a14-4ef7-b127-364e912fe103,null,invoices,4f1c9da6-dce7-48da-8e78-d78981831ff5,IMPORT/25-09/00003-4 (2025-09),1200,Accounts Receivable - Tenants,726.00,0.00,0.00,IMPORT/25-09/00003-4 (2025-09),5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,79853a4a-cb02-508c-e041-7e23378aec9c,e0a547db-d8f2-1e21-a742-6f7c135bd802
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,2025-06-09,2026-07-24 12:26:22.83935+00,63f42aa0-3d3d-497b-b1ae-465d95defeb7,null,manual,0f5abe32-07d1-4ae6-bb85-24da53827aab,Security deposit held (Excel import),2100,Tenant Deposits Held,0.00,21750.00,-21750.00,Security deposit held (Excel import),5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,79853a4a-cb02-508c-e041-7e23378aec9c,e0a547db-d8f2-1e21-a742-6f7c135bd802
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,0f5abe32-07d1-4ae6-bb85-24da53827aab,2025-08-31,2026-07-24 12:26:23.351832+00,6bd184e1-5dfd-435f-a53b-6f8ccc06d8de,null,deposit_settlements,3f2ba5f3-e7e0-457f-8637-633e8d2cabfd,Deposit refunded to tenant,2100,Tenant Deposits Held,21750.00,0.00,0.00,Deposit refunded to tenant,5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,79853a4a-cb02-508c-e041-7e23378aec9c,e0a547db-d8f2-1e21-a742-6f7c135bd802
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,98a505a9-d139-431f-b01e-b943795f434d,2025-06-01,2026-07-24 12:25:16.045309+00,0ded0ecd-8d97-4f4a-a07c-3898a338ed33,null,invoices,cf1aab4c-477f-4fa3-8343-fe3406560ec6,IMPORT/25-06/00117-4 (2025-06),1200,Accounts Receivable - Tenants,10626.00,0.00,10626.00,IMPORT/25-06/00117-4 (2025-06),5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,aa73cade-c28c-dc5b-5980-55801ea0d415,e240e3e5-c69e-eb28-28a3-e88cb6561735
00000000-0000-0000-0000-000000000001,00af40b2-545a-c400-060e-9eba5e004ea3,98a505a9-d139-431f-b01e-b943795f434d,2025-06-08,2026-07-24 12:25:16.045309+00,cfa51f5f-aad3-4325-8cd0-37000a4bfd0f,null,invoices,05e804bf-d97e-452a-a051-ab4e71ac77dd,IMPORT/25-06/00119-4 (2025-06),1200,Accounts Receivable - Tenants,1000.00,0.00,11626.00,IMPORT/25-06/00119-4 (2025-06),5dda0b14-713b-46d0-a6ce-a7a33a2fb6f9,aa73cade-c28c-dc5b-5980-55801ea0d415,e240e3e5-c69e-eb28-28a3-e88cb6561735
