organization_id,account_code,account_name,account_type,normal_balance,total_debit,total_credit,balance
00000000-0000-0000-0000-000000000001,5100,Owner Rent Expense,EXPENSE,DEBIT,17623800.00,0.00,17623800.00
00000000-0000-0000-0000-000000000001,4400,Late Fees,INCOME,CREDIT,0.00,2600.00,-2600.00
00000000-0000-0000-0000-000000000001,5240,Maintenance - Appliances,EXPENSE,DEBIT,45835.00,0.00,45835.00
00000000-0000-0000-0000-000000000001,4900,Other Income,INCOME,CREDIT,231646.83,666589.79,-434942.96
00000000-0000-0000-0000-000000000001,4100,Rental Income,INCOME,CREDIT,49657.00,64910834.49,-64861177.49
00000000-0000-0000-0000-000000000001,2200,Owner Rent Payable,LIABILITY,CREDIT,0.00,14725550.00,-14725550.00
00000000-0000-0000-0000-000000000001,5220,Maintenance - Electrical,EXPENSE,DEBIT,6310.00,0.00,6310.00
00000000-0000-0000-0000-000000000001,4500,Exit Charges Income,INCOME,CREDIT,0.00,260605.00,-260605.00
00000000-0000-0000-0000-000000000001,5290,Maintenance - Other,EXPENSE,DEBIT,37601.00,0.00,37601.00
00000000-0000-0000-0000-000000000001,4300,Onboarding Fees,INCOME,CREDIT,0.00,345911.00,-345911.00
00000000-0000-0000-0000-000000000001,5900,Other Expenses,EXPENSE,DEBIT,39366.00,0.00,39366.00
00000000-0000-0000-0000-000000000001,4250,Guest Stay Income,INCOME,CREDIT,0.00,122489.00,-122489.00
00000000-0000-0000-0000-000000000001,2100,Tenant Deposits Held,LIABILITY,CREDIT,7358594.00,11442994.00,-4084400.00
00000000-0000-0000-0000-000000000001,2500,Accounts Payable - Vendors,LIABILITY,CREDIT,0.00,1400834.76,-1400834.76
00000000-0000-0000-0000-000000000001,1120,Bank - Operating Account,ASSET,DEBIT,81448759.52,9532657.90,71916101.62
00000000-0000-0000-0000-000000000001,4200,Electricity Income,INCOME,CREDIT,2465.00,6626153.98,-6623688.98
00000000-0000-0000-0000-000000000001,5150,Electricity Payments,EXPENSE,DEBIT,1030618.00,0.00,1030618.00
00000000-0000-0000-0000-000000000001,1500,Property Assets,ASSET,DEBIT,1400834.76,0.00,1400834.76
00000000-0000-0000-0000-000000000001,5800,Marketing & Tenant Acquisition,EXPENSE,DEBIT,24658.00,27.00,24631.00
00000000-0000-0000-0000-000000000001,1200,Accounts Receivable - Tenants,ASSET,DEBIT,83850907.45,83688947.60,161959.85
00000000-0000-0000-0000-000000000001,5230,Maintenance - Carpentry,EXPENSE,DEBIT,559.00,0.00,559.00
00000000-0000-0000-0000-000000000001,5630,Bank Charges & CC Fees,EXPENSE,DEBIT,2698.52,7856.56,-5158.04
00000000-0000-0000-0000-000000000001,5260,Maintenance - HVAC,EXPENSE,DEBIT,579741.00,0.00,579741.00
