period,revenue,rental_income,electricity_income,guest_stay_income,onboarding_income,late_fees_income,exit_charges_income,other,occupied_beds,effective_rent
2024-02,709259.0,660313.0,44946.0,0.0,3000.0,0.0,0.0,1000.0,113,5843.477876106194
2024-03,815577.0,699121.0,65577.0,0.0,0.0,0.0,2250.0,48629.0,129,5419.542635658915
2024-04,984882.0,871525.22,92140.78,0.0,10000.0,0.0,0.0,11216.0,137,6361.497956204379
2024-05,1058515.0,942818.55,103684.45,0.0,6000.0,0.0,2250.0,3762.0,153,6162.21274509804
2024-06,1115718.0,912997.21,145309.79,30000.0,4000.0,0.0,0.0,23411.0,139,6568.325251798561
2024-07,1124765.0,987463.82,121335.18,0.0,1000.0,0.0,7750.0,7216.0,145,6810.095310344827
2024-08,1296783.0,1140025.66,137202.34,0.0,3000.0,0.0,0.0,16555.0,151,7549.83880794702
2024-09,1398120.0,1240724.28,147450.72,0.0,1000.0,0.0,0.0,8945.0,152,8162.659736842105
2024-10,1436431.0,1275228.66,151932.34,0.0,3000.0,0.0,0.0,6270.0,150,8501.5244
2024-11,1486118.29,1340437.28,140898.01,0.0,2000.0,0.0,840.0,1943.0,147,9118.620952380952
2024-12,1535357.77,1393232.06,125040.94,1500.0,5000.0,0.0,2250.0,8334.770000000019,146,9542.685342465753
2025-01,1723232.0,1649717.0,120716.0,0.0,11000.0,0.0,0.0,-58201.0,140,11783.692857142858
2025-02,2056307.0,1895051.0,130697.0,0.0,5000.0,0.0,4912.0,20647.0,159,11918.559748427673
2025-03,2242184.0,2049460.0,164579.0,2400.0,2000.0,0.0,0.0,23745.0,159,12889.685534591195
2025-04,2423712.62,2132123.0,246843.0,0.0,3000.0,0.0,10303.0,31443.62000000011,162,13161.253086419752
2025-05,2649987.71,2309430.0,274690.43,0.0,7000.0,900.0,11250.0,46717.279999999795,153,15094.313725490196
2025-06,2840892.75,2464187.0,281824.0,5389.0,11000.0,0.0,27000.0,51492.75,166,14844.5
2025-07,2752402.45,2397145.0,293646.0,0.0,9000.0,0.0,11250.0,41361.450000000186,162,14797.191358024691
2025-08,2963646.85,2589006.0,291182.0,3000.0,24000.0,0.0,13500.0,42958.85000000009,156,16596.19230769231
2025-09,3092396.22,2755149.0,284971.0,1000.0,7000.0,0.0,26500.0,17776.220000000205,177,15565.813559322034
2025-10,2897959.0,2563487.0,285792.0,3000.0,5000.0,0.0,16000.0,24680.0,172,14903.994186046511
2025-11,2760389.0,2502032.0,219341.0,7600.0,5000.0,0.0,11250.0,15166.0,164,15256.292682926829
2025-12,2570516.57,2297490.0,230320.0,1000.0,8000.0,0.0,15750.0,17956.569999999832,153,15016.274509803921
2026-01,2539549.42,2338823.0,148720.0,17000.0,18000.0,0.0,13500.0,3506.4199999999255,143,16355.405594405594
2026-02,2720625.0,2521176.0,142937.0,11400.0,20000.0,1100.0,9000.0,15012.0,153,16478.274509803923
2026-03,2774058.0,2560328.0,185761.0,6400.0,10000.0,500.0,9800.0,1269.0,160,16002.05
2026-04,2890610.0,2596001.0,245059.0,20000.0,14000.0,100.0,15750.0,-300.0,162,16024.697530864198
2026-05,3153828.0,2782260.0,301218.0,1600.0,33000.0,0.0,27000.0,8750.0,172,16175.93023255814
2026-06,3300730.0,2895623.0,337244.0,4800.0,27000.0,0.0,13500.0,22563.0,180,16086.794444444444
2026-07,3337114.03,2864190.0,380635.0,4000.0,28000.0,0.0,9000.0,51289.029999999795,182,15737.307692307691
2026-08,3159088.0,2794192.0,346248.0,2400.0,4000.0,0.0,0.0,12248.0,175,15966.81142857143
