period,actual,hw,full,occ_fc,occ_actual,rent_fc,rent_actual,ape_hw,ape_comp,comp_wins,window
2025-03,2242184,1920710,2200758,158.6,159,12915,12890,14.337538756854922,1.8475736157246685,True,18-fold
2025-04,2423713,2438858,2444711,162.2,162,13866,13161,0.6248677132977378,0.8663567014741432,False,18-fold
2025-05,2649988,2611198,2655589,165.3,153,14299,15094,1.4637802133443623,0.2113594476654234,True,18-fold
2025-06,2840893,2855777,2881526,162.5,166,15680,14844,0.5239197674815631,1.4302897011608675,False,18-fold
2025-07,2752402,3039988,3016623,165.2,162,16084,14797,10.448546396928936,9.599651504395071,True,18-fold
2025-08,2963647,2870248,2971513,166.5,156,15593,16596,3.151488689442434,0.2654162253466759,True,18-fold
2025-09,3092396,3087320,3192172,166.3,177,16942,15566,0.16414456621985024,3.2264949249707993,False,18-fold
2025-10,2897959,3216263,3181772,170.2,172,16557,14904,10.983730273616708,9.793547803816411,True,18-fold
2025-11,2760389,2998396,3008411,172.5,164,15427,15256,8.622226794846668,8.985037978342907,False,18-fold
2025-12,2570517,2856160,2877804,172.9,153,15090,15016,11.112278191507778,11.954287795023335,False,18-fold
2026-01,2539549,2426904,2814203,171.3,143,14795,16355,4.43563010597551,10.815069919895226,False,18-fold
2026-02,2720625,2560598,2854900,159.1,153,16646,16478,5.8819940271077416,4.935446818286239,True,18-fold
2026-03,2774058,2811506,3012677,165.1,160,16971,16002,1.3499357259293066,8.60180284622744,False,18-fold
2026-04,2890610,2837007,3025754,165.3,162,16653,16025,1.8543836768017825,4.6752761527843605,False,18-fold
2026-05,3153828,2921163,3069261,168.2,172,16550,16176,7.377225390858347,2.681408117373554,True,18-fold
2026-06,3300730,3232643,3265275,174.6,180,16636,16087,2.062786110951214,1.0741563229952162,True,18-fold
2026-07,3337114,3200314,3286488,175.3,182,16558,15737,4.099350516644022,1.5170593512837738,True,18-fold
2026-08,3159088,3518125,3254636,179.3,175,15822,15967,11.36521046580532,3.0245437923856504,True,18-fold
