period,actual,occ_actual,rent_fc,elec_fc,hw,occ_es_seasonal,rev_es_seasonal,occ_es_trend,rev_es_trend,occ_es_damped,rev_es_damped,occ_snaive,rev_snaive,occ_naive1,rev_naive1,occ_median3,rev_median3
2025-03,2242184,159,12915,136212,1920710,158.6,2185174,158.6,2185174,153.4,2116791,129.0,1802293,159.0,2189754,146.0,2021854
2025-04,2423713,162,13866,170606,2438858,162.2,2419064,162.2,2419064,154.5,2313416,137.0,2070213,159.0,2375260,159.0,2375260
2025-05,2649988,153,14299,260905,2611198,165.3,2623932,165.3,2623932,155.8,2489096,153.0,2448695,162.0,2577388,159.0,2534490
2025-06,2840893,166,15680,289209,2855777,162.5,2836780,162.5,2836780,155.7,2731216,139.0,2468697,153.0,2688214,159.0,2782292
2025-07,2752402,162,16084,293762,3039988,165.2,2951655,165.2,2951655,157.1,2819931,145.0,2625953,166.0,2963718,162.0,2899382
2025-08,2963647,156,15593,307628,2870248,166.5,2904546,166.5,2904546,157.7,2767019,151.0,2662190,162.0,2833715,162.0,2833715
2025-09,3092396,177,16942,304562,3087320,166.3,3121713,166.3,3121713,157.7,2976379,152.0,2879767,156.0,2947536,162.0,3049189
2025-10,2897959,172,16557,298567,3216263,170.2,3116911,170.2,3116911,162.5,2988727,150.0,2782188,177.0,3229240,162.0,2980878
2025-11,2760389,164,15427,296552,2998396,172.5,2957731,172.5,2957731,166.7,2868999,147.0,2564340,172.0,2950018,172.0,2950018
2025-12,2570517,153,15090,226696,2856160,172.9,2836028,172.9,2836028,166.4,2737553,146.0,2429783,164.0,2701397,172.0,2822114
2026-01,2539549,143,14795,237830,2426904,171.3,2772496,171.3,2772496,163.1,2651306,140.0,2309070,153.0,2501399,164.0,2664139
2026-02,2720625,153,16646,162815,2560598,159.1,2810634,146.7,2604795,160.4,2832641,159.0,2809484,143.0,2543153,153.0,2709610
2026-03,2774058,160,16971,153600,2811506,165.1,2954765,153.3,2754553,164.1,2939255,159.0,2852012,153.0,2750185,153.0,2750185
2026-04,2890610,162,16653,230021,2837007,165.3,2982548,160.1,2896856,166.4,3000743,162.0,2927839,160.0,2894533,153.0,2777961
2026-05,3153828,172,16550,248719,2921163,168.2,3032292,163.3,2952197,167.0,3012539,153.0,2780933,162.0,2929887,160.0,2896786
2026-06,3300730,180,16636,323670,3232643,174.6,3227756,172.4,3191247,165.0,3068337,166.0,3085298,172.0,3185116,162.0,3018753
2026-07,3337114,182,16558,327122,3200314,175.3,3230188,181.2,3327301,166.2,3079206,162.0,3009548,180.0,3307596,172.0,3175130
2026-08,3159088,175,15822,349541,3518125,179.3,3186573,184.2,3263713,167.1,2994088,156.0,2817777,182.0,3229149,180.0,3197505
