period,revenue,active_tenants,occupied_beds,usable_beds,occupancy_rate,collections,collection_rate,eb_billed,month_num,quarter,sin_m,cos_m,rev_lag1,rev_lag2,rev_lag3,rev_roll3,active_lag1,occ_lag1,usable_lag1,occrate_lag1,coll_lag1,collrate_lag1,eb_billed_lag1,period_dt
2024-02,709259,115,113,145,0.7793,748945,1.056,180549.0,2,1,0.8660254037844386,0.5000000000000001,,,,,,,,,,,,2024-02-01
2024-03,815577,130,129,145,0.8897,915556,1.1226,236598.0,3,1,1.0,6.123233995736766e-17,709259.0,,,,115.0,113.0,145.0,0.7793,748945.0,1.056,180549.0,2024-03-01
2024-04,984882,137,137,145,0.9448,1487145,1.51,261742.0,4,2,0.8660254037844387,-0.4999999999999998,815577.0,709259.0,,,130.0,129.0,145.0,0.8897,915556.0,1.1226,236598.0,2024-04-01
2024-05,1058515,155,153,145,1.0,1264486,1.1946,321288.0,5,2,0.49999999999999994,-0.8660254037844387,984882.0,815577.0,709259.0,836572.6666666666,137.0,137.0,145.0,0.9448,1487145.0,1.51,261742.0,2024-05-01
2024-06,1115718,143,139,145,0.9586,1155578,1.0357,292248.0,6,2,1.2246467991473532e-16,-1.0,1058515.0,984882.0,815577.0,952991.3333333334,155.0,153.0,145.0,1.0,1264486.0,1.1946,321288.0,2024-06-01
2024-07,1124765,150,145,145,1.0,1683915,1.4971,302990.0,7,3,-0.4999999999999997,-0.8660254037844388,1115718.0,1058515.0,984882.0,1053038.3333333333,143.0,139.0,145.0,0.9586,1155578.0,1.0357,292248.0,2024-07-01
2024-08,1296783,155,151,155,0.9742,1506587,1.1618,299954.0,8,3,-0.8660254037844385,-0.5000000000000004,1124765.0,1115718.0,1058515.0,1099666.0,150.0,145.0,145.0,1.0,1683915.0,1.4971,302990.0,2024-08-01
2024-09,1398120,158,152,166,0.9157,1611278,1.1525,281304.0,9,3,-1.0,-1.8369701987210297e-16,1296783.0,1124765.0,1115718.0,1179088.6666666667,155.0,151.0,155.0,0.9742,1506587.0,1.1618,299954.0,2024-09-01
2024-10,1436431,153,150,170,0.8824,1634519,1.1379,253259.0,10,4,-0.8660254037844386,0.5000000000000001,1398120.0,1296783.0,1124765.0,1273222.6666666667,158.0,152.0,166.0,0.9157,1611278.0,1.1525,281304.0,2024-10-01
2024-11,1486118,149,147,170,0.8647,1622186,1.0916,225410.0,11,4,-0.5000000000000004,0.8660254037844384,1436431.0,1398120.0,1296783.0,1377111.3333333333,153.0,150.0,170.0,0.8824,1634519.0,1.1379,253259.0,2024-11-01
2024-12,1535358,149,146,170,0.8588,1692951,1.1026,188848.0,12,4,-2.4492935982947064e-16,1.0,1486118.0,1436431.0,1398120.0,1440223.0,149.0,147.0,170.0,0.8647,1622186.0,1.0916,225410.0,2024-12-01
2025-01,1723232,144,140,170,0.8235,2172818,1.2609,191960.0,1,1,0.49999999999999994,0.8660254037844387,1535358.0,1486118.0,1436431.0,1485969.0,149.0,146.0,170.0,0.8588,1692951.0,1.1026,188848.0,2025-01-01
2025-02,2056307,165,159,170,0.9353,2390917,1.1627,212513.0,2,1,0.8660254037844386,0.5000000000000001,1723232.0,1535358.0,1486118.0,1581569.3333333333,144.0,140.0,170.0,0.8235,2172818.0,1.2609,191960.0,2025-02-01
2025-03,2242184,165,159,170,0.9353,2623315,1.17,305633.0,3,1,1.0,6.123233995736766e-17,2056307.0,1723232.0,1535358.0,1771632.3333333333,165.0,159.0,170.0,0.9353,2390917.0,1.1627,212513.0,2025-03-01
2025-04,2423713,170,162,170,0.9529,2762768,1.1399,331905.0,4,2,0.8660254037844387,-0.4999999999999998,2242184.0,2056307.0,1723232.0,2007241.0,165.0,159.0,170.0,0.9353,2623315.0,1.17,305633.0,2025-04-01
2025-05,2649988,158,153,170,0.9,2805811,1.0588,328837.0,5,2,0.49999999999999994,-0.8660254037844387,2423713.0,2242184.0,2056307.0,2240734.6666666665,170.0,162.0,170.0,0.9529,2762768.0,1.1399,331905.0,2025-05-01
2025-06,2840893,167,166,170,0.9765,3622825,1.2752,347178.0,6,2,1.2246467991473532e-16,-1.0,2649988.0,2423713.0,2242184.0,2438628.3333333335,158.0,153.0,170.0,0.9,2805811.0,1.0588,328837.0,2025-06-01
2025-07,2752402,164,162,170,0.9529,3783562,1.3746,315468.0,7,3,-0.4999999999999997,-0.8660254037844388,2840893.0,2649988.0,2423713.0,2638198.0,167.0,166.0,170.0,0.9765,3622825.0,1.2752,347178.0,2025-07-01
2025-08,2963647,158,156,191,0.8168,3895830,1.3145,419626.0,8,3,-0.8660254037844385,-0.5000000000000004,2752402.0,2840893.0,2649988.0,2747761.0,164.0,162.0,170.0,0.9529,3783562.0,1.3746,315468.0,2025-08-01
2025-09,3092396,179,177,191,0.9267,3444983,1.114,311108.0,9,3,-1.0,-1.8369701987210297e-16,2963647.0,2752402.0,2840893.0,2852314.0,158.0,156.0,191.0,0.8168,3895830.0,1.3145,419626.0,2025-09-01
