period,revenue,occupied_beds,usable_beds,active_tenants,occupancy_rate,occupancy_rate_raw,inventory_reliable,avg_rent_card,month_num,quarter,year,sin_m,cos_m,revenue_lag1,revenue_lag2,revenue_lag3,revenue_lag6,revenue_lag12,revenue_roll3,revenue_roll6,occupied_beds_lag1,occupancy_rate_lag1,occupied_beds_lag2,occupancy_rate_lag2,occupied_beds_lag3,occupancy_rate_lag3,occupied_roll3,tenants_lag1,usable_lag1
2024-02,709259,113,145,115,0.7793,0.7793,True,18000.0,2,1,2024,0.8660254037844386,0.5000000000000001,,,,,,,,,,,,,,,,
2024-03,815577,129,145,130,0.8897,0.8897,True,18000.0,3,1,2024,1.0,6.123233995736766e-17,709259.0,,,,,,,113.0,0.7793,,,,,,115.0,145.0
2024-04,984882,137,145,137,0.9448,0.9448,True,18000.0,4,2,2024,0.8660254037844387,-0.4999999999999998,815577.0,709259.0,,,,,,129.0,0.8897,113.0,0.7793,,,,130.0,145.0
2024-05,1058515,153,145,155,1.0,1.0552,False,18000.0,5,2,2024,0.49999999999999994,-0.8660254037844387,984882.0,815577.0,709259.0,,,836572.6666666666,,137.0,0.9448,129.0,0.8897,113.0,0.7793,126.33333333333333,137.0,145.0
2024-06,1115718,139,145,143,0.9586,0.9586,True,18000.0,6,2,2024,1.2246467991473532e-16,-1.0,1058515.0,984882.0,815577.0,,,952991.3333333334,,153.0,1.0,137.0,0.9448,129.0,0.8897,139.66666666666666,155.0,145.0
2024-07,1124765,145,145,150,1.0,1.0,True,18000.0,7,3,2024,-0.4999999999999997,-0.8660254037844388,1115718.0,1058515.0,984882.0,,,1053038.3333333333,,139.0,0.9586,153.0,1.0,137.0,0.9448,143.0,143.0,145.0
2024-08,1296783,151,155,155,0.9742,0.9742,True,18000.0,8,3,2024,-0.8660254037844385,-0.5000000000000004,1124765.0,1115718.0,1058515.0,709259.0,,1099666.0,968119.3333333334,145.0,1.0,139.0,0.9586,153.0,1.0,145.66666666666666,150.0,145.0
2024-09,1398120,152,166,158,0.9157,0.9157,True,18000.0,9,3,2024,-1.0,-1.8369701987210297e-16,1296783.0,1124765.0,1115718.0,815577.0,,1179088.6666666667,1066040.0,151.0,0.9742,145.0,1.0,139.0,0.9586,145.0,155.0,155.0
2024-10,1436431,150,170,153,0.8824,0.8824,True,18000.0,10,4,2024,-0.8660254037844386,0.5000000000000001,1398120.0,1296783.0,1124765.0,984882.0,,1273222.6666666667,1163130.5,152.0,0.9157,151.0,0.9742,145.0,1.0,149.33333333333334,158.0,166.0
2024-11,1486118,147,170,149,0.8647,0.8647,True,18000.0,11,4,2024,-0.5000000000000004,0.8660254037844384,1436431.0,1398120.0,1296783.0,1058515.0,,1377111.3333333333,1238388.6666666667,150.0,0.8824,152.0,0.9157,151.0,0.9742,151.0,153.0,170.0
2024-12,1535358,146,170,149,0.8588,0.8588,True,18000.0,12,4,2024,-2.4492935982947064e-16,1.0,1486118.0,1436431.0,1398120.0,1115718.0,,1440223.0,1309655.8333333333,147.0,0.8647,150.0,0.8824,152.0,0.9157,149.66666666666666,149.0,170.0
2025-01,1723232,140,170,144,0.8235,0.8235,True,18000.0,1,1,2025,0.49999999999999994,0.8660254037844387,1535358.0,1486118.0,1436431.0,1124765.0,,1485969.0,1379595.8333333333,146.0,0.8588,147.0,0.8647,150.0,0.8824,147.66666666666666,149.0,170.0
