month,actual,holt_winters,component,occupied_beds_fc,effective_rent_fc,electricity_fc
2025-03,2242184,1920710,2185174,158.6,12915,136212
2025-04,2423713,2438858,2419064,162.2,13866,170606
2025-05,2649988,2611198,2623932,165.3,14299,260905
2025-06,2840893,2855777,2836780,162.5,15680,289209
2025-07,2752402,3039988,2951655,165.2,16084,293762
2025-08,2963647,2870248,2904546,166.5,15593,307628
2025-09,3092396,3087320,3121713,166.3,16942,304562
2025-10,2897959,3216263,3116911,170.2,16557,298567
2025-11,2760389,2998396,2957731,172.5,15427,296552
2025-12,2570517,2856160,2836028,172.9,15090,226696
2026-01,2539549,2426904,2772496,171.3,14795,237830
2026-02,2720625,2560598,2604795,146.7,16646,162815
2026-03,2774058,2811506,2754553,153.3,16971,153600
2026-04,2890610,2837007,2896856,160.1,16653,230021
2026-05,3153828,2921163,2952197,163.3,16550,248719
2026-06,3300730,3232643,3191247,172.4,16636,323670
2026-07,3337114,3200314,3327301,181.2,16558,327122
2026-08,3159088,3518125,3263713,184.2,15822,349541
