apartment_id,issue_type_id,ticket_count,repeat_count,recur_le90,recur_le180,last_occurrence,days_since_last,prev_gap_days,hotspot,priority,date_confidence,reason,recommended_action
1b4d1066-8fe4-199b-7b3b-39e4bded9714,a5831922-eaeb-48c2-941c-fd96fae8813d,28,27,25,27,2026-07-11,32,24.0,True,High,low,recurred within 24d (28 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
85292340-826d-52c1-65c7-7f2a9eb2c2c4,47389994-b201-4bb1-bf91-8bce4dbde510,22,21,20,21,2026-08-11,1,0.0,True,High,low,recurred within 0d (22 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
c2ff0c11-4d1b-7b9b-b93c-aa37c9b6c40b,abc84f5b-a950-406e-ab46-cefbe11df925,21,20,20,20,2026-06-26,47,7.0,True,High,low,recurred within 7d (21 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
dd96a329-ec95-e96a-1348-69d976f39cd4,a5831922-eaeb-48c2-941c-fd96fae8813d,19,18,16,18,2026-07-18,25,20.0,True,High,low,recurred within 20d (19 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
5d204545-2f72-b89b-3190-a826b5ab6512,a5831922-eaeb-48c2-941c-fd96fae8813d,17,16,15,16,2026-05-06,98,34.0,True,High,low,recurred within 34d (17 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
dd96a329-ec95-e96a-1348-69d976f39cd4,47389994-b201-4bb1-bf91-8bce4dbde510,16,15,15,15,2026-07-02,41,27.0,True,High,low,recurred within 27d (16 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
a361bd0d-c2c1-2aee-6303-d65de004edd0,a5831922-eaeb-48c2-941c-fd96fae8813d,16,15,14,15,2026-07-22,21,21.0,True,High,low,recurred within 21d (16 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
2fc42a4f-fe5a-ae08-0e4e-2c89ca71db85,a5831922-eaeb-48c2-941c-fd96fae8813d,16,15,13,15,2026-06-28,45,32.0,True,High,low,recurred within 32d (16 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
990e8a3e-a69c-7b31-f606-3eeb21e3d4c6,47389994-b201-4bb1-bf91-8bce4dbde510,15,14,13,14,2026-06-29,44,65.0,True,High,low,recurred within 65d (15 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
990e8a3e-a69c-7b31-f606-3eeb21e3d4c6,caf6381e-5189-4c1f-bf0a-4dfd99d9b9e7,15,14,12,13,2026-06-29,44,59.0,True,High,low,recurred within 59d (15 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
417c9738-a0f7-5a00-1091-37a9fd083dd6,28158382-d5c1-436c-927b-3e3d9855c2af,14,13,11,12,2026-07-22,21,21.0,True,High,low,recurred within 21d (14 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
bc7f358d-0d6d-f95f-ff80-9089eefdef69,a5831922-eaeb-48c2-941c-fd96fae8813d,14,13,11,13,2026-08-04,8,1.0,True,High,high,recurred within 1d (14 tickets),Inspect recurring apartment/issue; check if equipment needs repair/replacement
