property_name,universe_version,operator_source_type,property_type,gender,locality,locality_group,distance_km,distance_precision,source_evidence_type,source_platform,source_url,price_status,verification_status,provenance
Bhavani pg,v1,independent,pg_unknown_gender,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,identity_unconfirmed_no_first_party,phase3_market_spec baseline (v1)
Blue Shell,v1,independent,unknown,unknown,Adyar,"Adyar, Chennai",2.09,suburb_centroid_adyar,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Chippy Inn,v1,independent,unknown,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Chippy Inn Tharamani,v1,independent,serviced_apartment,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
D and A BOUTIQUE HOTEL,v1,independent,hotel,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Diyaa Paying Guest,v1,independent,pg_unknown_gender,men,"Indira Nagar, Adyar","Adyar, Chennai",0.5,geocoded_gmaps,first_party_or_verified,,,first_party_published,verified_real_first_party_site,phase3_market_spec baseline (v1)
Dreams Neelankarai,v1,independent,unknown,unknown,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
EXCELLENT MEN'S PG ACCOMODATION | MENS HOSTEL IN THIRUVANMIYUR | BOYS HOSTEL IN THIRUVANMIYUR,v1,independent,mens_pg,men,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,identity_unconfirmed_no_first_party,phase3_market_spec baseline (v1)
Feel At Home Ladies Hostel,v1,independent,pg_unknown_gender,women,Perungudi / Thoraipakkam OMR,"Perungudi, Chennai",4.14,geocoded_gmaps,first_party_or_verified,,,unknown,verified_real_first_party_site,phase3_market_spec baseline (v1)
Ganapathi PG for Women - LB Road,v1,independent,womens_pg,women,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,identity_unconfirmed_no_first_party,phase3_market_spec baseline (v1)
Green Apple Residency,v1,independent,residential_apartment,unknown,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,verified_real_no_first_party,phase3_market_spec baseline (v1)
Kolam Gandhi Serviced Apartments,v1,independent,serviced_apartment,men,Thiruvanmiyur,"Thiruvanmiyur, Chennai",2.17,geocoded_gmaps,first_party_or_verified,,,unknown,verified_real_first_party_site,phase3_market_spec baseline (v1)
Kripa Homes pg thiruvanmiyur,v1,independent,pg_unknown_gender,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",0.35,geocoded_gmaps,first_party_or_verified,,,unknown,verified_real_first_party_site,phase3_market_spec baseline (v1)
MG Park,v1,independent,unknown,unknown,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,verified_real_no_independent_first_party,phase3_market_spec baseline (v1)
MR Regency PG Hostel,v1,independent,pg_unknown_gender,unknown,Adyar,"Adyar, Chennai",2.09,suburb_centroid_adyar,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Mens PG,v1,independent,mens_pg,men,Adyar,"Adyar, Chennai",2.09,suburb_centroid_adyar,unknown,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
NAVEENS HIFI PG FLAT AND HOSTEL ONLY FOR GIRLS,v1,independent,womens_pg,women,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,unknown,,,unknown,identity_unconfirmed_no_first_party,phase3_market_spec baseline (v1)
NESTORA ELITE PG in PERUNGUDI ( Mens PG NEW building),v1,operator:operator,mens_pg,men,Thiruvanmiyur,"Thiruvanmiyur, Chennai",,same_suburb_thiruvanmiyur_street_unknown,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Ojas Grand PG for Men,v1,independent,mens_pg,men,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,verified_real_no_first_party,phase3_market_spec baseline (v1)
Olive Serviced Apartments,v1,independent,serviced_apartment,men,Thiruvanmiyur,"Thiruvanmiyur, Chennai",2.52,geocoded_gmaps,unknown,,,unknown,verified_real_first_party_site,phase3_market_spec baseline (v1)
PG in Perungudi - Sampoorna Nilayam,v1,independent,pg_unknown_gender,unknown,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
Riya Ladies PG,v1,independent,womens_pg,women,Perungudi,"Perungudi, Chennai",2.37,suburb_centroid_perungudi,first_party_or_verified,,,unknown,not_independently_web_verified,phase3_market_spec baseline (v1)
