recommendation_id,owner_action,campaign_result,enquiries,conversions,occupancy_change,revenue_impact,outcome_status
SHR-Double,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_no_data
INV-Triple,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_no_data
VAC-Triple,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_no_data
LOC-TVM,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_no_data
AMEN-food,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_no_data
AMEN-wifi,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_no_data
AMEN-parking,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_no_data
AMEN-ac_available,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_no_data
AMEN-cctv_security,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_no_data
INV-Double,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_no_data
