competitor_name,distance_km_from_vishful,distance_precision,coordinate_source,is_geocoded,distance_provenance
kalyani homestay,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
K S MENS P G HOSTAL,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Sasikala Paying Guest,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
VIJAY PAYING GUEST LUXURY HOSTEL,2.09,suburb_centroid_adyar,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> adyar suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Zara co-living Space - Men's PG / Valasarvakkam,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
SAHITHYAN MEN'S PG,0.55,geocoded_gmaps,google_maps (Apify run),True,"EXACT great-circle: Vishful mapped coordinate -> competitor actual Google Maps coordinate; Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
SRI LAKSHMI SRI LADIES PG,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Mens PG,2.09,suburb_centroid_adyar,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> adyar suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Yube1 Emerald League - PG in Perungudi | Coliving PG,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Ganapathi PG for Women - LB Road,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
WowLife Coliving PFLG (Perungudi),2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Zara Co-Living Space - Men's PG/ Thoraipakkam,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Eden Coliving Space,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Green Apple Residency,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Skylinn Stays OMR Perungudi | Best Hotel Rooms Chennai,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
WHITES INN VANDALUR,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Sri Venkata Vishnu Priya Gents Hostel,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Sri Mahalakshmi PG Accommodation,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Aostel - Men's PG/ Hostel in Anna Salai,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
EXCELLENT MEN'S PG ACCOMODATION | MENS HOSTEL IN THIRUVANMIYUR | BOYS HOSTEL IN THIRUVANMIYUR,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Stay N Tour Home | Best Rooms In Adyar,2.09,suburb_centroid_adyar,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> adyar suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
SRK Hostel,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
SPS Men's PG | Boys Hostel | Mens hostel In Thousand lights | Nungambakkam | Mountroad,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Riya Ladies PG,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Venkat Ramana PG hostel for Gents,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Bhavani pg,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
TSP PG ACCOMADTION,1.26,geocoded_gmaps,google_maps (Apify run),True,"EXACT great-circle: Vishful mapped coordinate -> competitor actual Google Maps coordinate; Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
NESTORA ELITE PG in PERUNGUDI ( Mens PG NEW building),,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
Sri Sai Balaji Ladies PG,2.37,suburb_centroid_perungudi,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> perungudi suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Oragadam Rooms,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,,same_suburb_thiruvanmiyur_street_unknown,,False,"same suburb as Vishful; no coordinate available; exact street-level distance UNKNOWN (NOT 0 km, NOT suburb centroid)"
The Royal Inn Gents PG,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
The Royal Inn Ladies Pg (Maple Nest),,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
Sri Sai Grn Men's Pg & Hostel,,unknown_locality,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
MR Regency PG Hostel,2.09,suburb_centroid_adyar,suburb_centroid (Nominatim),False,"APPROXIMATE: exact Vishful mapped coordinate -> adyar suburb centroid (coarse, not street-level; no exact competitor coordinate); Vishful ref = EXACT mapped property (Vishful Vista Heights, West Avenue, Thiruvanmiyur 600041; 12.9878697,80.2551457; Google placeId ChIJl51FKnxdUjoR6GcIjXDtGGw; Apify google-places run AxGSVtCcgrP1vgevf)"
Venkat Ramana PG Hostel for Ladies,,coarse_far_>5km,,False,insufficient location data — distance UNKNOWN (no coordinate/centroid)
