canonical_id,competitor_name,all_names,provenance,property_type,gender,evidence_class,locality,pincode,distance_km,distance_precision,within_1km,within_2km,within_3km,within_5km,official_url,official_site_verified,is_operator_or_aggregator,reject_as_pricing_source,has_first_party_price,comparable_perbed_sharing_ac,price_grain,monthly_rent_per_bed,price_source_url,price_confidence,price_evidence,is_dashboard_candidate,verification_status
kalyani homestay,kalyani homestay,kalyani homestay,dashboard,serviced_apartment,unknown,identity_unconfirmed,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,True,False,False,unknown,,,unknown,,True,not_independently_web_verified
k s mens p g hostal,K S MENS P G HOSTAL,K S MENS P G HOSTAL,dashboard,mens_pg,men,identity_unconfirmed,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
sasikala paying guest,Sasikala Paying Guest,Sasikala Paying Guest,dashboard,pg_unknown_gender,unknown,identity_unconfirmed,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,identity_unconfirmed_no_first_party
vijay paying guest luxury hostel,VIJAY PAYING GUEST LUXURY HOSTEL,VIJAY PAYING GUEST LUXURY HOSTEL,dashboard,pg_unknown_gender,unknown,identity_unconfirmed,Adyar,,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
zara coliving space  mens pg  valasarvakkam,Zara co-living Space - Men's PG / Valasarvakkam,Zara co-living Space - Men's PG / Valasarvakkam,dashboard,co_living,men,verified_real,Chennai,,,unknown_locality,False,False,False,False,,False,False,False,False,False,unknown,,,unknown,,True,verified_real_no_first_party
sahithyan mens pg,SAHITHYAN MEN'S PG,SAHITHYAN MEN'S PG,dashboard,mens_pg,men,verified_real,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,exists_described_no_first_party
sri lakshmi sri ladies pg,SRI LAKSHMI SRI LADIES PG,SRI LAKSHMI SRI LADIES PG,dashboard,womens_pg,women,identity_unconfirmed,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
mens pg,Mens PG,Mens PG,dashboard,mens_pg,men,identity_unconfirmed,Adyar,,1.3,suburb_centroid_adyar,False,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,not_independently_web_verified
yube1 emerald league  pg in perungudi  coliving pg,Yube1 Emerald League - PG in Perungudi | Coliving PG,Yube1 Emerald League - PG in Perungudi | Coliving PG,dashboard,co_living,unknown,operator_aggregator,Perungudi,,3.5,suburb_centroid_perungudi,False,False,False,True,https://yube1.in/,True,True,True,False,False,unknown,,,unknown,,True,verified_operator_site_rejected
ganapathi pg for women  lb road,Ganapathi PG for Women - LB Road,Ganapathi PG for Women - LB Road,dashboard,womens_pg,women,identity_unconfirmed,Thiruvanmiyur,,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,,False,False,False,False,False,unknown,,,unknown,,True,identity_unconfirmed_no_first_party
