competitor_name,source_platform,source_url,price_basis,sharing_type,price,currency,ac,gender,food_included,evidence_text,captured_at,provenance
Aostel - Men's PG/ Hostel in Anna Salai,Official,https://www.aostel.in/,HOTEL_PER_NIGHT,,850,INR,,Male,,Book from ₹850/day / starting from just ₹850/day,2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Blue Shell,EaseMyTrip,https://www.easemytrip.com/hotels/blue-shell-9672309/,HOTEL_PER_NIGHT,,1537,INR,AC,,,"Double Room — 1537 + 91 Taxes & fees (Per Night); breakfast included, ",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Diyaa Paying Guest,Official,https://menspg.in/,OFFICIAL_SHARING_SPECIFIC,4-sharing,5000,INR,NON_AC,Male,,"Non-AC Rooms (per month): Four Sharing (4 persons): Rs. 5,000",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Diyaa Paying Guest,Official,https://menspg.in/,OFFICIAL_SHARING_SPECIFIC,Triple,5500,INR,NON_AC,Male,,"Non-AC Rooms (per month): Three Sharing (3 persons): Rs. 5,500",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Diyaa Paying Guest,Official,https://menspg.in/,OFFICIAL_SHARING_SPECIFIC,4-sharing,6000,INR,AC,Male,,"AC Rooms (per month): Four Sharing (4 persons): Rs. 6,000",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Diyaa Paying Guest,Official,https://menspg.in/,OFFICIAL_SHARING_SPECIFIC,Double,6500,INR,NON_AC,Male,,"Non-AC Rooms (per month): Two Sharing (2 persons): Rs. 6,500",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Diyaa Paying Guest,Official,https://menspg.in/,OFFICIAL_SHARING_SPECIFIC,Triple,6500,INR,AC,Male,,"AC Rooms (per month): Three Sharing (3 persons): Rs. 6,500",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Diyaa Paying Guest,Official,https://menspg.in/,OFFICIAL_SHARING_SPECIFIC,Double,8000,INR,AC,Male,,"AC Rooms (per month): Two Sharing (2 persons): Rs. 8,000",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Diyaa Paying Guest,Official,https://menspg.in/,OFFICIAL_SHARING_SPECIFIC,Single,11000,INR,NON_AC,Male,,"Non-AC Rooms (per month): Single Sharing (1 person): Rs. 11,000",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Diyaa Paying Guest,Official,https://menspg.in/,OFFICIAL_SHARING_SPECIFIC,Single,16000,INR,AC,Male,,"AC Rooms (per month): Single Sharing (1 person): Rs. 16,000",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Feel At Home Ladies Hostel,Official,https://www.hostelforladies.com/,OFFICIAL_STARTING_FROM,,6200,INR,,Female,,Rent Starts from Rs.6200,2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Hotel O Guduvancheri Railway Station,OYO,https://www.oyorooms.com/253222,HOTEL_PER_NIGHT,,1771,INR,AC,,,"Classic Room - Price ₹1771 (discounted from ₹6217), + Taxes & fees ₹18",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Hotel O Guduvancheri Railway Station,OYO,https://www.oyorooms.com/253222,HOTEL_PER_NIGHT,,1948,INR,AC,,,"Deluxe Room - Price ₹1948 (discounted from ₹6839), + Taxes & fees ₹207",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
MCity Elite Suites,Trip.com,https://www.trip.com/hotels/mahabalipuram-hotel-detail-123804839/mcity-elite-suites/,USD,,26,USD,,,,prices starting from US$26,2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Oragadam Rooms,Official,http://oragadamrooms.com/,HOTEL_PER_NIGHT,,2650,INR,AC,,,"Executive Solo Suite - Starting from Rs 2,650 per night; Free WiFi AC ",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Oragadam Rooms,Official,http://oragadamrooms.com/,HOTEL_PER_NIGHT,,3400,INR,AC,,,"Premier Twin Suite - Starting from Rs 3,400 per night; WiFi AC Twin Be",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Oragadam Rooms,EaseMyTrip,https://www.easemytrip.com/hotels/oragadam-rooms-2662586/,HOTEL_PER_NIGHT,,4327,INR,AC,,,"Deluxe Room: 4327 + 255 Taxes & fees (Per Night); Breakfast, Parking, ",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Oragadam Rooms,Official,http://oragadamrooms.com/,HOTEL_PER_NIGHT,,4500,INR,AC,,,"Grand Family Suite - Starting from Rs 4,500 per night; Large Space AC ",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Oragadam Rooms,EaseMyTrip,https://www.easemytrip.com/hotels/oragadam-rooms-2662586/,HOTEL_PER_NIGHT,,5085,INR,AC,,,"Deluxe Double Room: 5085 + 282 Taxes & fees (Per Night); 120 Sq Ft, Do",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Oragadam Rooms,Official,http://oragadamrooms.com/,HOTEL_PER_NIGHT,,12500,INR,AC,,,"Exclusive Private Residence - Starting from Rs 12,500 per night; Priva",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
SRP The Pavilion,Official,http://www.srpthepavilion.com/,HOTEL_PER_NIGHT,,1800,INR,,,,Superior twin room with shared living room and kitchen: Rs. 1800/day,2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
SRP The Pavilion,Official,http://www.srpthepavilion.com/,HOTEL_PER_NIGHT,,2200,INR,,,,One Room Tariff: Rs. 2200/day,2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
SRP The Pavilion,Official,http://www.srpthepavilion.com/,HOTEL_PER_NIGHT,,4400,INR,,,,Family 2 Bedroom Suite: Rs. 4400/day,2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Sri Maha Hostels (Ladies),Official,https://srimahahostels.com/branches/thiruvanmiyur-ladies-hostel,OFFICIAL_SHARING_SPECIFIC,4-sharing,11500,INR,,Female,,"4 Sharing: ₹11,500",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Sri Maha Hostels (Ladies),Official,https://srimahahostels.com/branches/thiruvanmiyur-ladies-hostel,OFFICIAL_SHARING_SPECIFIC,Double,16500,INR,,Female,,"2 Sharing: ₹16,500",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Stanza Living Conway House | Coliving PG in Navalur,Stanza Living,https://www.stanzaliving.com/chennai/pg-in-old-mahabalipuram-road/co_ed/conway-house,OFFICIAL_SHARING_SPECIFIC,Triple,9299,INR,AC,Co-ed,,"Triple ₹9,299/mo* (Starts from ₹9,299/mo*)",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Stanza Living Conway House | Coliving PG in Navalur,Stanza Living,https://www.stanzaliving.com/chennai/pg-in-old-mahabalipuram-road/co_ed/conway-house,OFFICIAL_SHARING_SPECIFIC,Double,10599,INR,AC,Co-ed,,"Double ₹10,599/mo*",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Stanza Living Conway House | Coliving PG in Navalur,Stanza Living,https://www.stanzaliving.com/chennai/pg-in-old-mahabalipuram-road/co_ed/conway-house,OFFICIAL_SHARING_SPECIFIC,4-sharing,13699,INR,AC,Co-ed,,"Quadruple ₹13,699/mo*",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Stanza Living Conway House | Coliving PG in Navalur,Stanza Living,https://www.stanzaliving.com/chennai/pg-in-old-mahabalipuram-road/co_ed/conway-house,OFFICIAL_SHARING_SPECIFIC,Single,15099,INR,AC,Co-ed,,"Single ₹15,099/mo*",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Stanza Living Fernley House | Coliving PG in Urapakkam,Stanza Living,https://www.stanzaliving.com/chennai/pg-in-urapakkam/co_ed/fernley-house,OFFICIAL_SHARING_SPECIFIC,Triple,13999,INR,AC,Co-ed,,"Triple Occupancy (X3): ₹13,999/mo* (starting price ₹13,999/mo*)",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Stanza Living Fernley House | Coliving PG in Urapakkam,Stanza Living,https://www.stanzaliving.com/chennai/pg-in-urapakkam/co_ed/fernley-house,OFFICIAL_SHARING_SPECIFIC,Double,15299,INR,AC,Co-ed,,"Double Occupancy (X2): ₹15,299/mo*",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Stanza Living Fernley House | Coliving PG in Urapakkam,Stanza Living,https://www.stanzaliving.com/chennai/pg-in-urapakkam/co_ed/fernley-house,OFFICIAL_SHARING_SPECIFIC,Single,21599,INR,AC,Co-ed,,"Single Occupancy (X1): ₹21,599/mo*",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
VIJAY PAYING GUEST LUXURY HOSTEL,HexaHome,https://www.hexahome.in/vijay-paying-guest-pg-in-adyar-chennai-id-FDNQAF/,OFFICIAL_STARTING_FROM,Double,11000,INR,,Male,,Twin Sharing (2 Rooms available); Rent '₹ 11K/Onwards'; for male occup,2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
WHITES INN Nearby Kilambakkam New Bus Terminal,OYO,https://www.oyorooms.com/239933/,HOTEL_PER_NIGHT,,617,INR,AC,,,"Classic room ₹617 per night (from ₹4,044, 84% off); AC and TV",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Alpha League - PG in Thiruvanmiyur | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Alpha-League,OFFICIAL_SHARING_SPECIFIC,Triple,13000,INR,AC,Co-ed,,"Three Sharing: Rs 13,000/month; Fully Furnished, AC, 1 Bath Attached; ",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Alpha League - PG in Thiruvanmiyur | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Alpha-League,OFFICIAL_SHARING_SPECIFIC,Double,17000,INR,AC,Co-ed,,"Two Sharing: Rs 17,000/month; Fully Furnished, AC, 1 Bath Attached; Me",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Alpha League - PG in Thiruvanmiyur | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Alpha-League,OFFICIAL_SHARING_SPECIFIC,Single,34000,INR,AC,Co-ed,,"Single Sharing: Rs 34,000/month; Fully Furnished, AC, 1 Bath Attached;",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Capital League - PG in Porur | Coliving PG,Yube1,https://yube1.in/property-details/Yube1-Capital-League,OFFICIAL_SHARING_SPECIFIC,Triple,8900,INR,AC,,,"Three Sharing: Rs 8,900/month; Fully Furnished, Air Conditioner, 1 Bat",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Capital League - PG in Porur | Coliving PG,Yube1,https://yube1.in/property-details/Yube1-Capital-League,OFFICIAL_SHARING_SPECIFIC,Double,11000,INR,AC,,,"Two Sharing: Rs 11,000/month; Fully Furnished, Air Conditioner, 1 Bath",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Capital League - PG in Porur | Coliving PG,Yube1,https://yube1.in/property-details/Yube1-Capital-League,OFFICIAL_SHARING_SPECIFIC,Single,22000,INR,AC,,,"Single Sharing: Rs 22,000/month; Fully Furnished, Air Conditioner, 1 B",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Continental League - PG in Perungudi | Coliving PG,Yube1,https://yube1.in/property-details/Yube1-Continental-League,OFFICIAL_SHARING_SPECIFIC,Triple,12000,INR,AC,,,"Three Sharing: Rs 12,000/month; Fully Furnished, AC, 1 Bath Attached",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Continental League - PG in Perungudi | Coliving PG,Yube1,https://yube1.in/property-details/Yube1-Continental-League,OFFICIAL_SHARING_SPECIFIC,Double,16500,INR,AC,,,"Two Sharing: Rs 16,500/month; 2 Beds Double Sharing, AC, 1 Bath Attach",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Continental League - PG in Perungudi | Coliving PG,Yube1,https://yube1.in/property-details/Yube1-Continental-League,OFFICIAL_SHARING_SPECIFIC,Single,32000,INR,AC,,,"Single Sharing: Rs 32,000/month; Fully Furnished, AC, 1 Bath Attached",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Emerald League - PG in Perungudi | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Emerald-League,OFFICIAL_SHARING_SPECIFIC,Triple,13000,INR,AC,,,"Three Sharing: Rs 13,000/month; Fully Furnished, AC, 1 Bath Attached",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Emerald League - PG in Perungudi | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Emerald-League,OFFICIAL_SHARING_SPECIFIC,Double,17000,INR,AC,,,"Two Sharing: Rs 17,000/month; Fully Furnished, AC, 1 Bath Attached",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Liberty League,Yube1,https://www.yube1.in/property-details/Yube1-Liberty-League,OFFICIAL_SHARING_SPECIFIC,4-sharing,9000,INR,AC,,,"Four Sharing: Rs 9,000/month; Air Conditioner, Attached bathroom, Full",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Liberty League,Yube1,https://www.yube1.in/property-details/Yube1-Liberty-League,OFFICIAL_SHARING_SPECIFIC,Triple,12000,INR,AC,,,"Three Sharing: Rs 12,000/month; Air Conditioner, Attached bathroom, Fu",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Liberty League,Yube1,https://www.yube1.in/property-details/Yube1-Liberty-League,OFFICIAL_SHARING_SPECIFIC,Double,13500,INR,AC,,,"Two Sharing: Rs 13,500/month; Air Conditioner, Attached bathroom, Full",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Liberty League,Yube1,https://www.yube1.in/property-details/Yube1-Liberty-League,OFFICIAL_SHARING_SPECIFIC,Single,16500,INR,AC,,,"Single Sharing: Rs 16,500/month; Air Conditioner, Attached bathroom, F",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Madras League - PG in Chetpet | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Madras-League,OFFICIAL_SHARING_SPECIFIC,5-sharing,11000,INR,,Co-ed,,"Five Sharing: ₹11,000/month",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Madras League - PG in Chetpet | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Madras-League,OFFICIAL_SHARING_SPECIFIC,4-sharing,13500,INR,,Co-ed,,"Four Sharing: ₹13,500/month",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Madras League - PG in Chetpet | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Madras-League,OFFICIAL_SHARING_SPECIFIC,Triple,14500,INR,,Co-ed,,"Three Sharing: ₹14,500/month",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Madras League - PG in Chetpet | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Madras-League,OFFICIAL_SHARING_SPECIFIC,Double,19000,INR,,Co-ed,,"Two Sharing: ₹19,000/month; fully-furnished premium unisex coliving ap",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Madras League - PG in Chetpet | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Madras-League,OFFICIAL_SHARING_SPECIFIC,Single,38000,INR,,Co-ed,,"Single Sharing: ₹38,000/month; fully-furnished premium unisex coliving",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Millennial Campus - PG in Nungambakkam | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Millennial-Campus,OFFICIAL_SHARING_SPECIFIC,Triple,13000,INR,AC,,,Three Sharing ₹13000; Air conditioning is included,2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Millennial Campus - PG in Nungambakkam | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Millennial-Campus,OFFICIAL_SHARING_SPECIFIC,Double,16000,INR,AC,,,Two Sharing ₹16000; Air conditioning is included,2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Millennial Campus - PG in Nungambakkam | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Millennial-Campus,OFFICIAL_SHARING_SPECIFIC,Single,32000,INR,AC,,,Single Sharing ₹32000; Air conditioning is included,2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Premier-League,OFFICIAL_SHARING_SPECIFIC,Triple,12500,INR,AC,,,"Three Sharing: ₹12,500/month; Amenities: Air Conditioner",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Premier-League,OFFICIAL_SHARING_SPECIFIC,Double,13500,INR,AC,,,"Two Sharing: ₹13,500/month; Amenities: Air Conditioner",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,Yube1,https://www.yube1.in/property-details/Yube1-Premier-League,OFFICIAL_SHARING_SPECIFIC,Single,20500,INR,AC,,,"Single Sharing: ₹20,500/month; Amenities: Air Conditioner",2026-08-19,approved web-research pricing audit; source page opened+identity-verified; price shown on-page (or search snippet for bot-blocked specific listings)
