property_name,place_title,google_total_score,google_total_reviews,reviews_collected,source_url,apify_run_id,retrieval_date
Kolam Gandhi Serviced Apartments,Kolam Gandhi Serviced Apartments,4.6,529,14,https://www.google.com/maps/search/?api=1&query=Kolam%20Gandhi%20Serviced%20Apartments&query_place_id=ChIJE5AFdOtnUjoRvXEL_yNNBD4,zID57BCmD2hhyLRCb,2026-08-18
Kripa Homes PG,Kripa Homes pg thiruvanmiyur,4.5,73,14,https://www.google.com/maps/search/?api=1&query=Kripa%20Homes%20pg%20thiruvanmiyur&query_place_id=ChIJl6JhER9dUjoRCyv8zdJImR4,zID57BCmD2hhyLRCb,2026-08-18
Diyaa Paying Guest,Diyaa Paying Guest,2.7,27,8,https://www.google.com/maps/search/?api=1&query=Diyaa%20Paying%20Guest&query_place_id=ChIJsQhx8IpnUjoRaIhgHIiuH44,zID57BCmD2hhyLRCb,2026-08-18
Sahithyan Men's PG,SAHITHYAN MEN’S PG,5.0,1,1,https://www.google.com/maps/search/?api=1&query=SAHITHYAN%20MEN%E2%80%99S%20PG&query_place_id=ChIJqTukuT9dUjoRMU2QKjAac5A,zID57BCmD2hhyLRCb,2026-08-18
Olive Serviced Apartments,Olive Serviced Apartments,4.4,314,9,https://www.google.com/maps/search/?api=1&query=Olive%20Serviced%20Apartments&query_place_id=ChIJ_VmX0hBdUjoRr76jL0U5_DM,zID57BCmD2hhyLRCb,2026-08-18
Feel At Home Ladies Hostel,Feel at Home OMR Ladies Hostel,4.7,24,16,https://www.google.com/maps/search/?api=1&query=Feel%20at%20Home%20OMR%20Ladies%20Hostel&query_place_id=ChIJXTmQnbJdUjoRQoMWrnUgxYk,zID57BCmD2hhyLRCb,2026-08-18
TSP PG Accommodation,TSP MENS PG,4.7,111,16,https://www.google.com/maps/search/?api=1&query=TSP%20MENS%20PG&query_place_id=ChIJswHPmzVdUjoRGsivbnbU-es,zID57BCmD2hhyLRCb,2026-08-18
Subodhaya Paying Guest (Ladies),Subodhaya Paying Guest Accommodation (for Ladies),4.6,11,2,https://www.google.com/maps/search/?api=1&query=Subodhaya%20Paying%20Guest%20Accommodation%20(for%20Ladies)&query_place_id=ChIJ9_3wJS9dUjoRieZkEzhq8QM,zID57BCmD2hhyLRCb,2026-08-18
Season 4 Rentals,Season 4 Rentals,4.5,90,17,https://www.google.com/maps/search/?api=1&query=Season%204%20Rentals&query_place_id=ChIJpRhkAwJdUjoRou9WXDCSfOk,zID57BCmD2hhyLRCb,2026-08-18
Yali Service Apartment,Yali Service Apartment,4.6,831,17,https://www.google.com/maps/search/?api=1&query=Yali%20Service%20Apartment&query_place_id=ChIJWzJVeBRdUjoR3v2oOXvzUhE,zID57BCmD2hhyLRCb,2026-08-18
