competitor_name,source_type,source_url,source_verification,source_provenance
Amman Men's PG Hostel,Official,https://www.ammanhostels.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Aostel - Men's PG/ Hostel in Anna Salai,Official,http://www.aostel.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Aostel - Men's PG/ Hostel in Anna Salai,Official,https://www.aostel.in/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Bag2Bag Service Apartments,Bag2Bag,https://bag2bag.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Bhavani pg,Justdial,https://www.justdial.com/Chennai/Sri-Bhavani-Mens-Hostel-Kamaraj-Nagar/044PXX44-XX44-230905224426-U1G3_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Blue Shell,EaseMyTrip,https://www.easemytrip.com/hotels/blue-shell-9672309/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Chippy Inn,Official,https://chippyinn.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Chippy Inn,Trip.com,https://www.trip.com/hotels/chennai-hotel-detail-47037651/chippy-inn/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Chippy Inn Tharamani,Official,http://www.chippyinn.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
D and A BOUTIQUE HOTEL,Official,http://www.daresidency.com/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Diyaa Paying Guest,Official,https://menspg.in/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Dreams Neelankarai,MakeMyTrip,https://www.makemytrip.com/hotels/dreams_neelankarai-details-chennai.html,owner_provided_verified,URL supplied and confirmed by the owner
EXCELLENT MEN'S PG ACCOMODATION | MENS HOSTEL IN THIRUVANMIYUR | BOYS HOSTEL IN THIRUVANMIYUR,Official,https://excellentmenspgaccomodation.hrmslyzoo.in/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Eden Coliving Space,Justdial,https://www.justdial.com/Chennai/Eden-Coliving-Kattupakkam/044PXX44-XX44-250929144506-V9Q5_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Emy PG Accommodation (Men),Official,https://emypgaccommodation.in/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Feel At Home Ladies Hostel,Official,https://www.hostelforladies.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Ganapathi PG for Women - LB Road,Justdial,https://www.justdial.com/Chennai/Ganapathi-Pg-For-Women-Near-Valmiki-Nagar-Thiruvalluvar-Nagar-Thiruvanmiyur/044PXX44-XX44-230905180247-W6J6_BZDET,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Green Apple Residency,MakeMyTrip,https://www.makemytrip.global/hotels/greenapple_residency-details-chennai.html,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Green Apple Residency,Tripadvisor,https://www.tripadvisor.ie/Hotel_Review-g10745344-d34302666-Reviews-Greenapple_Residency-Chennai_District_Tamil_Nadu.html,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Hotel O Guduvancheri Railway Station,OYO,https://www.oyorooms.com/253222,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
Hotel O Guduvancheri Railway Station,OYO,https://www.oyorooms.com/253222/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
KPA MEN'S PG & HOSTEL,Sulekha,https://www.sulekha.com/kpa-men-s-pg-hostel-arumbakkam-chennai-contact-address,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Kolam Gandhi Serviced Apartments,Official,https://kolamapartments.com/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Kripa Homes pg thiruvanmiyur,Official,https://kripahomes.com/pg-thiruvanmiyur/,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Kushi Enclave,CommonFloor,https://www.commonfloor.com/india-kushi-enclave-chennai/povp-6gzfcj,web_platform_listing_identity_verified,reputable online-platform listing page found + opened + identity-confirmed (name+locality+address); approved web-research audit
Lancor Sonnet Square,Lancor,https://lancor.in/completed-projects-chennai/,first_party_url_in_project,official/operator URL already collected in phase3_competitor_master (preserved)
