recommendation_id,lead_source,leads,enquiries,visits,applications,conversions,beds_filled,status
SHR-Double,,,,,,,,pending_owner_input
INV-Triple,,,,,,,,pending_owner_input
VAC-Triple,,,,,,,,pending_owner_input
LOC-TVM,,,,,,,,pending_owner_input
AMEN-food,,,,,,,,pending_owner_input
AMEN-wifi,,,,,,,,pending_owner_input
AMEN-parking,,,,,,,,pending_owner_input
AMEN-ac_available,,,,,,,,pending_owner_input
AMEN-cctv_security,,,,,,,,pending_owner_input
INV-Double,,,,,,,,pending_owner_input
