canonical_name,property_type,gender,locality,distance_km,distance_precision,verification_status,first_party_website,price_status,provenance
Bhavani pg,pg_unknown_gender,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,identity_unconfirmed_no_first_party,,unknown,dashboard
Blue Shell,unknown,unknown,Adyar,1.3,suburb_centroid_adyar,not_independently_web_verified,,unknown,dashboard
Chippy Inn,unknown,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,not_independently_web_verified,,unknown,dashboard
Chippy Inn Tharamani,serviced_apartment,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,not_independently_web_verified,,unknown,dashboard
D and A BOUTIQUE HOTEL,hotel,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,not_independently_web_verified,,unknown,dashboard
Diyaa Paying Guest,pg_unknown_gender,men,"Indira Nagar, Adyar",2.05,suburb_centroid_600020,verified_real_first_party_site,https://menspg.in/,first_party_published,"first_party_web,independent_web_verification"
Dreams Neelankarai,unknown,unknown,Perungudi,3.5,suburb_centroid_perungudi,not_independently_web_verified,,unknown,dashboard
EXCELLENT MEN'S PG ACCOMODATION | MENS HOSTEL IN THIRUVANMIYUR | BOYS HOSTEL IN THIRUVANMIYUR,mens_pg,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,identity_unconfirmed_no_first_party,,unknown,dashboard
Feel At Home Ladies Hostel,pg_unknown_gender,women,Perungudi / Thoraipakkam OMR,2.26,suburb_centroid_600096,verified_real_first_party_site,https://www.hostelforladies.com/,unknown,"first_party_web,independent_web_verification"
Ganapathi PG for Women - LB Road,womens_pg,women,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,identity_unconfirmed_no_first_party,,unknown,dashboard
Green Apple Residency,residential_apartment,unknown,Perungudi,3.5,suburb_centroid_perungudi,verified_real_no_first_party,,unknown,dashboard
Kolam Gandhi Serviced Apartments,serviced_apartment,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,verified_real_first_party_site,https://kolamapartments.com/,unknown,dashboard
Kripa Homes pg thiruvanmiyur,pg_unknown_gender,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,verified_real_first_party_site,https://kripahomes.com/pg-thiruvanmiyur/,unknown,"dashboard,first_party_web,independent_web_verification"
MG Park,unknown,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,verified_real_no_independent_first_party,,unknown,dashboard
MR Regency PG Hostel,pg_unknown_gender,unknown,Adyar,1.3,suburb_centroid_adyar,not_independently_web_verified,,unknown,dashboard
Mens PG,mens_pg,men,Adyar,1.3,suburb_centroid_adyar,not_independently_web_verified,,unknown,dashboard
NAVEENS HIFI PG FLAT AND HOSTEL ONLY FOR GIRLS,womens_pg,women,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,identity_unconfirmed_no_first_party,,unknown,dashboard
NESTORA ELITE PG in PERUNGUDI ( Mens PG NEW building),mens_pg,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,not_independently_web_verified,,unknown,dashboard
Ojas Grand PG for Men,mens_pg,men,Perungudi,3.5,suburb_centroid_perungudi,verified_real_no_first_party,,unknown,dashboard
Olive Serviced Apartments,serviced_apartment,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,verified_real_first_party_site,https://oliveservicedapartments.com/chennai,unknown,dashboard
PG in Perungudi - Sampoorna Nilayam,pg_unknown_gender,unknown,Perungudi,3.5,suburb_centroid_perungudi,not_independently_web_verified,,unknown,dashboard
Riya Ladies PG,womens_pg,women,Perungudi,3.5,suburb_centroid_perungudi,not_independently_web_verified,,unknown,dashboard
SAHITHYAN MEN'S PG,mens_pg,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,exists_described_no_first_party,,unknown,dashboard
SNEHA PG,pg_unknown_gender,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,identity_weak_no_first_party,,unknown,dashboard
SRI LAKSHMI SRI LADIES PG,womens_pg,women,Perungudi,3.5,suburb_centroid_perungudi,not_independently_web_verified,,unknown,dashboard
SRI LAXMI BALAJI PG FOR LADIES,womens_pg,women,Perungudi,3.5,suburb_centroid_perungudi,not_independently_web_verified,,unknown,dashboard
STAY GREEN PG,pg_unknown_gender,unknown,Perungudi,3.5,suburb_centroid_perungudi,not_independently_web_verified,,unknown,dashboard
Sasikala Paying Guest,pg_unknown_gender,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,identity_unconfirmed_no_first_party,,unknown,dashboard
Season 4 Rentals,serviced_apartment,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,verified_real_first_party_site,https://season4.in/season-4-rentals-thiruvanmiyur/,unknown,dashboard
Skylinn Stays OMR Perungudi | Best Hotel Rooms Chennai,hotel,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,verified_real_no_independent_first_party,,unknown,dashboard
Sree Siddhi Vinayaka Mens PG,mens_pg,men,Perungudi,3.5,suburb_centroid_perungudi,verified_real_no_first_party,,unknown,dashboard
Sree sai pg,pg_unknown_gender,unknown,Perungudi,3.5,suburb_centroid_perungudi,not_independently_web_verified,,unknown,dashboard
Sri Mahalakshmi PG Accommodation,pg_unknown_gender,unknown,Perungudi,3.5,suburb_centroid_perungudi,verified_real_first_party_site,https://mahalakshmipgaccommodation.com/,unknown,"dashboard,first_party_web,independent_web_verification"
Sri Sai Balaji Ladies PG,womens_pg,women,Perungudi,3.5,suburb_centroid_perungudi,not_independently_web_verified,,unknown,dashboard
Star Men's Pg Accommodation,mens_pg,men,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,not_independently_web_verified,,unknown,"dashboard,groq_discovery"
Stay Easy Tiruvanmiyur Chennai | Hotels Near Apollo Proton,hotel,unknown,Thiruvanmiyur,0.0,suburb_centroid_thiruvanmiyur,verified_real_no_independent_first_party,,unknown,dashboard
Stay N Tour Home | Best Rooms In Adyar,serviced_apartment,unknown,Adyar,1.3,suburb_centroid_adyar,not_independently_web_verified,,unknown,dashboard
