property_name,locality,address,pincode,operator,operator_source_type,identity_confidence,universe_version,source_platform,source_url,sharing_type,published_rent,amenities,provenance,status
kalyani homestay,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
K S MENS P G HOSTAL,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Sasikala Paying Guest,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
VIJAY PAYING GUEST LUXURY HOSTEL,Adyar,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Zara co-living Space - Men's PG / Valasarvakkam,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
SAHITHYAN MEN'S PG,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
SRI LAKSHMI SRI LADIES PG,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Mens PG,Adyar,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Yube1 Emerald League - PG in Perungudi | Coliving PG,Perungudi,,nan,Yube1,operator:Yube1,baseline,v1,master (phase1 discovery),https://yube1.in/,,,,dashboard,baseline
Ganapathi PG for Women - LB Road,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
WowLife Coliving PFLG (Perungudi),Perungudi,,nan,WowLife,operator:WowLife,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Zara Co-Living Space - Men's PG/ Thoraipakkam,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Eden Coliving Space,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Green Apple Residency,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Skylinn Stays OMR Perungudi | Best Hotel Rooms Chennai,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
WHITES INN VANDALUR,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Sri Venkata Vishnu Priya Gents Hostel,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Sri Mahalakshmi PG Accommodation,Perungudi,,600096,independent,independent,baseline,v1,master (phase1 discovery),https://mahalakshmipgaccommodation.com/,,,,"dashboard,first_party_web,independent_web_verification",baseline
Aostel - Men's PG/ Hostel in Anna Salai,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
EXCELLENT MEN'S PG ACCOMODATION | MENS HOSTEL IN THIRUVANMIYUR | BOYS HOSTEL IN THIRUVANMIYUR,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Stay N Tour Home | Best Rooms In Adyar,Adyar,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
SRK Hostel,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
SPS Men's PG | Boys Hostel | Mens hostel In Thousand lights | Nungambakkam | Mountroad,Chennai,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Riya Ladies PG,Perungudi,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Venkat Ramana PG hostel for Gents,Kattankulathur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
Bhavani pg,Thiruvanmiyur,,nan,independent,independent,baseline,v1,master (phase1 discovery),nan,,,,dashboard,baseline
