evidence_id,property_id,property_name,property_lat,property_lng,place_id,place_name,category,place_kind,matched_tag,lat,lng,distance_km,search_radius_m,provider,source_url,source_type,formatted_address,evidence_text,retrieval_date,source_confidence
EV-NEAR-001,ChIJl51FKnxdUjoR6GcIjXDtGGw,Vishful Vista Heights,12.9878697,80.2551457,osm:node/5486341834,Jayanti,TRANSPORT,bus_stop,highway=bus_stop,12.9874595,80.2553985,0.053,3000,openstreetmap,https://www.openstreetmap.org/node/5486341834,structured_map,,highway=bus_stop; name=Jayanti; public_transport=platform,2026-08-27,Medium
EV-NEAR-002,ChIJl51FKnxdUjoR6GcIjXDtGGw,Vishful Vista Heights,12.9878697,80.2551457,osm:node/5631301117,Jayanti,TRANSPORT,bus_stop,highway=bus_stop,12.9885252,80.2558203,0.103,3000,openstreetmap,https://www.openstreetmap.org/node/5631301117,structured_map,,highway=bus_stop; name=Jayanti; public_transport=platform,2026-08-27,Medium
EV-NEAR-003,ChIJl51FKnxdUjoR6GcIjXDtGGw,Vishful Vista Heights,12.9878697,80.2551457,osm:node/317827781,Jayanti,TRANSPORT,bus_stop,highway=bus_stop,12.9883987,80.255959,0.106,3000,openstreetmap,https://www.openstreetmap.org/node/317827781,structured_map,,highway=bus_stop; name=Jayanti; public_transport=stop_position,2026-08-27,Medium
EV-NEAR-004,ChIJl51FKnxdUjoR6GcIjXDtGGw,Vishful Vista Heights,12.9878697,80.2551457,osm:node/317827746,Jayanti,TRANSPORT,bus_stop,highway=bus_stop,12.9885068,80.2558808,0.107,3000,openstreetmap,https://www.openstreetmap.org/node/317827746,structured_map,,highway=bus_stop; name=Jayanti; public_transport=stop_position,2026-08-27,Medium
EV-NEAR-005,ChIJl51FKnxdUjoR6GcIjXDtGGw,Vishful Vista Heights,12.9878697,80.2551457,osm:node/5631301116,Jayanti,TRANSPORT,bus_stop,highway=bus_stop,12.9883854,80.2559973,0.109,3000,openstreetmap,https://www.openstreetmap.org/node/5631301116,structured_map,,highway=bus_stop; name=Jayanti; public_transport=platform,2026-08-27,Medium
EV-NEAR-006,ChIJl51FKnxdUjoR6GcIjXDtGGw,Vishful Vista Heights,12.9878697,80.2551457,osm:node/5311755239,Tiruvanmiyur,TRANSPORT,railway_station,railway=station,12.9889822,80.2515865,0.405,3000,openstreetmap,https://www.openstreetmap.org/node/5311755239,structured_map,,name=Tiruvanmiyur; operator=SR; public_transport=station; railway=station,2026-08-27,High
EV-NEAR-007,ChIJl51FKnxdUjoR6GcIjXDtGGw,Vishful Vista Heights,12.9878697,80.2551457,osm:way/125234718,Thiruvanmiyur MTC Terminus,TRANSPORT,bus_station,amenity=bus_station,12.9868356,80.2593327,0.468,3000,openstreetmap,https://www.openstreetmap.org/way/125234718,structured_map,,amenity=bus_station; name=Thiruvanmiyur MTC Terminus; operator=mtc; public_transport=station,2026-08-27,High
EV-NEAR-008,ChIJl51FKnxdUjoR6GcIjXDtGGw,Vishful Vista Heights,12.9878697,80.2551457,osm:node/5311755238,Indira Nagar,TRANSPORT,railway_station,railway=station,12.9960623,80.249716,1.084,3000,openstreetmap,https://www.openstreetmap.org/node/5311755238,structured_map,,name=Indira Nagar; operator=SR; public_transport=station; railway=station,2026-08-27,High
EV-NEAR-009,ChIJl51FKnxdUjoR6GcIjXDtGGw,Vishful Vista Heights,12.9878697,80.2551457,osm:way/354794432,Taramani,TRANSPORT,bus_station,amenity=bus_station,12.9855115,80.2405569,1.602,3000,openstreetmap,https://www.openstreetmap.org/way/354794432,structured_map,,amenity=bus_station; name=Taramani; operator=MTC; public_transport=station,2026-08-27,High
EV-NEAR-010,ChIJl51FKnxdUjoR6GcIjXDtGGw,Vishful Vista Heights,12.9878697,80.2551457,osm:node/5311755240,Taramani,TRANSPORT,railway_station,railway=station,12.9786584,80.2416441,1.786,3000,openstreetmap,https://www.openstreetmap.org/node/5311755240,structured_map,,name=Taramani; operator=SR; public_transport=station; railway=station,2026-08-27,High
