review_id,property_name,themes,sentiment,pain_points,positive_drivers,customer_needs,purchase_signal,retention_signal,evidence_strength,extraction_status,model,evidence_snippet
Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB,Kolam Gandhi Serviced Apartments,staff|location|cleanliness|room_quality|common_area|sharing|food,positive,,staff|location|cleanliness|room_quality|common_area|sharing|food,staff|location|cleanliness|room_quality|common_area|sharing|food,False,False,high,ok,openai/gpt-oss-120b,We stayed at Kolam Gandhi Serviced Apartments for 3 nights and had a most enjoyable time there throughout. The hospitality and warmth was exceptional from the t
Ci9DQUlRQUNvZENodHljRjlvT2paRlNsQlBhVUl6V0VVMWVHRmxaVEZxT1dnM1ZYYxAB,Kolam Gandhi Serviced Apartments,,positive,,,,False,False,low,ok,openai/gpt-oss-120b,Good
Ci9DQUlRQUNvZENodHljRjlvT2xKNVNHZHlkSE5DY0RWR01VRk1WMHBZU0VWc2FFRRAB,Kolam Gandhi Serviced Apartments,location|staff|common_area,neutral,,location|staff|common_area,location|staff|common_area,False,False,medium,ok,openai/gpt-oss-120b,"Very good location and facility but unable to get extra hours for fresh up as we had bus at 10Pm, gave permission to wait in lobby, very cooperative staff"
Ci9DQUlRQUNvZENodHljRjlvT2tOTWJsTXpYMjlOWmtFeWNUUk5NWEpMVmpCamJrRRAB,Kolam Gandhi Serviced Apartments,staff|maintenance|location,positive,,staff|maintenance|location,staff|maintenance|location,False,True,high,ok,openai/gpt-oss-120b,Stayed with family for 4 nights and thoroughly enjoyed our stay. Felt at home with the kind of support rendered by the staff. The property is very well maintain
Ci9DQUlRQUNvZENodHljRjlvT2tOR2FYUjNaRkl6UjFwT2FYSmllV2hzYm5GdFRtYxAB,Kolam Gandhi Serviced Apartments,,positive,,,,False,False,low,ok,openai/gpt-oss-120b,Nice and wonderful 👍
Ci9DQUlRQUNvZENodHljRjlvT2t4b2NWTjNZV3B1WTJ3MFNHTnpjMUZJTUdWblJHYxAB,Kolam Gandhi Serviced Apartments,,positive,,,,False,False,low,ok,openai/gpt-oss-120b,It was very spectacular places among Chennai we enjoyed there a lot
Ci9DQUlRQUNvZENodHljRjlvT21aek0xaFpXRFEzTjFSd2NqSmpSazV1U1RrMlUzYxAB,Kolam Gandhi Serviced Apartments,location|maintenance|room_quality|staff,positive,,location|maintenance|room_quality|staff,location|maintenance|room_quality|staff,False,False,medium,ok,openai/gpt-oss-120b,"Super place in chennai for a family to stay for a couple of days! Central to main locations in city, not too far from the beach and amazing place, well maintain"
Ci9DQUlRQUNvZENodHljRjlvT2tkdmJsVXlRVVYzZVY5Uk1rdzFaVEJuWlRacWVsRRAB,Kolam Gandhi Serviced Apartments,staff|room_quality,positive,,staff|room_quality,staff|room_quality,False,False,medium,ok,openai/gpt-oss-120b,Very polite  and courteous staff and very comfortable stay
Ci9DQUlRQUNvZENodHljRjlvT2sxa1JVUXRYMmhhWnpadWEyNXNOR0pCTkU4eFNFRRAB,Kolam Gandhi Serviced Apartments,staff|cleanliness|room_quality|food,positive,,staff|cleanliness|room_quality|food,staff|cleanliness|room_quality|food,True,False,high,ok,openai/gpt-oss-120b,"We had a wonderful family gathering and thoroughly enjoyed our stay at Kolam Gandhi Apartment. The service was excellent, and the staff was always available and"
Ci9DQUlRQUNvZENodHljRjlvT21GaUxWQldNVlJzYlRSbWJHZFZVVmt4VVV0bGIxRRAB,Kolam Gandhi Serviced Apartments,cleanliness|staff|room_quality,positive,,cleanliness|staff|room_quality,cleanliness|staff|room_quality,False,False,medium,ok,openai/gpt-oss-120b,I visited chennai 10th June and stayed till 14th Room was clean and staff  response to any requirement prompt and positive management and staff were good and my
Ci9DQUlRQUNvZENodHljRjlvT25rMWNuQTNhVEJWVUhkNGRFVm9SRVV3VjBZNVIyYxAB,Kolam Gandhi Serviced Apartments,location|staff|maintenance,positive,,location|staff|maintenance,location|staff|maintenance,False,False,low,ok,openai/gpt-oss-120b,Nice central place. People are service oriented and well maintained premises.
Ci9DQUlRQUNvZENodHljRjlvT21aS09EZGZNMUZpYUVobFVUTkhURUZRT1RrelZIYxAB,Kolam Gandhi Serviced Apartments,parking|security|room_quality|value,positive,,parking|security|room_quality|value,parking|security|room_quality|value,False,False,medium,ok,openai/gpt-oss-120b,"Superb combination of an apartment stay and a hotel. Great parking, security but within a nice serviced apartment. It was a great stay at a reasonable price and"
Ci9DQUlRQUNvZENodHljRjlvT2tGaU9IWjFjemxUZFRsMVRHaHdaMlIzYVVjMVNXYxAB,Kolam Gandhi Serviced Apartments,cleanliness|location|staff|food|ac|room_quality|value,positive,,cleanliness|location|staff|food|ac|room_quality|value,cleanliness|location|staff|food|ac|room_quality|value,False,False,high,ok,openai/gpt-oss-120b,"Clean decent place for family or whoever . Location ideal. Service good. Understanding folks. We had booked for 3 days, later made it 2 due to certain personal "
Ci9DQUlRQUNvZENodHljRjlvT2taS1pHUnJNR1pzVnpSa1IzRTRaRVkxY0ZvMVRGRRAB,Kolam Gandhi Serviced Apartments,location|maintenance|room_quality,positive,,location|maintenance|room_quality,location|maintenance|room_quality,False,False,low,ok,openai/gpt-oss-120b,Prime location.  Very well maintained rooms
Ci9DQUlRQUNvZENodHljRjlvT25seVYybHNTWFZZTTJRM1ZWQTFTWGROV0ZoMmEwRRAB,Kripa Homes PG,water|cleanliness|staff,negative,water|cleanliness|staff,,water|cleanliness|staff,False,False,high,ok,openai/gpt-oss-120b,"Worst PG experience ever. Half the time, there is either no water or the water is foul-smelling. Cleanliness is not maintained at all, and the landlords and sta"
Ci9DQUlRQUNvZENodHljRjlvT2kxdGVYSlZkMjVWZURWQ2VtMXllbkp3YUVoTVRsRRAB,Kripa Homes PG,room_quality|location|wifi,positive,wifi,room_quality|location,room_quality|location|wifi,False,True,medium,ok,openai/gpt-oss-120b,"Rooms are good and the location is also great. The only issue I felt during my 8 months, is the WiFi, once in a while it's stops working in the third floor. Eve"
Ci9DQUlRQUNvZENodHljRjlvT2xVMWVtVjNTRmxHYm1wak9WSkZOakZ2Um1VMFZHYxAB,Kripa Homes PG,staff,negative,staff,,staff,True,False,medium,ok,openai/gpt-oss-120b,"I want to book pg , please reply my chat in same no. Available.
No reply from many days !"
Ci9DQUlRQUNvZENodHljRjlvT2t4dFVIWkRkVFJpT0ZwTlEycGxjM1pQTVhCVk4zYxAB,Kripa Homes PG,location|staff|laundry|ac|value,positive,,location|staff|laundry|ac|value,location|staff|laundry|ac|value,True,False,high,ok,openai/gpt-oss-120b,"This place deserves a 5 star review tbh ! The location is very good and there's a good standard of people living in the surrounding.  ( Mini cooper , bmw , merc"
ChdDSUhNMG9nS0VQZUNscTJTNUpYNjdnRRAB,Kripa Homes PG,ac|staff,negative,ac|staff,,ac|staff,True,False,medium,ok,openai/gpt-oss-120b,"Any vacancy available in an AC room?
Called u many times but no response from ur side..."
ChdDSUhNMG9nS0VJQ0FnTURRcTdYdHB3RRAB,Kripa Homes PG,staff,neutral,,,staff,False,False,low,ok,openai/gpt-oss-120b,How to contact the owner ?
ChZDSUhNMG9nS0VJQ0FnSUN6cWJTeVZ3EAE,Kripa Homes PG,staff,negative,staff,,staff,False,False,medium,ok,openai/gpt-oss-120b,"This is a note to the owner!!

The phone number that you've given is always busy. How are we supposed to enquire about rooms when we can't contact you??

Please"
ChdDSUhNMG9nS0VJQ0FnSURqbjdtN21BRRAB,Kripa Homes PG,,neutral,,,,False,False,low,ok,openai/gpt-oss-120b,Over
ChZDSUhNMG9nS0VJQ0FnSURWaHEtQkJ3EAE,Kripa Homes PG,location,positive,,location,location,True,True,low,ok,openai/gpt-oss-120b,Stayed here for 5 months and with my experience this  is one of the best in the locality surely suggested
ChdDSUhNMG9nS0VJQ0FnSURGNkl5cWxRRRAB,Kripa Homes PG,location,positive,,location,location,True,False,low,ok,openai/gpt-oss-120b,Best pg in thiruvanmiyur and ecr location.
ChdDSUhNMG9nS0VJQ0FnSURGc0xQdWpRRRAB,Kripa Homes PG,location|staff|food|value,positive,food,location|staff|value,food,False,False,medium,ok,openai/gpt-oss-120b,"Nice hostel with all sort of facilities....Pros: Location,  facilities in the hostel, owner...con : food is not prepared in the hostel but one can opt for deliv"
ChdDSUhNMG9nS0VJQ0FnSUNGaThIUy1BRRAB,Kripa Homes PG,room_quality|ac|laundry|security|value,positive,,room_quality|ac|laundry|security|value,room_quality|ac|laundry|security|value,False,True,high,ok,openai/gpt-oss-120b,I've been staying at Kripa Homes PG for about 6 months and have found it to be quite pleasant. Room cleaning and other necessary appliances such as an air condi
ChdDSUhNMG9nS0VJQ0FnSUM1aXJYMXVBRRAB,Kripa Homes PG,,positive,,,,False,False,low,ok,openai/gpt-oss-120b,Good
