theme,negative,neutral,positive,unknown,total
staff,9.0,1.0,43.0,0.0,53.0
cleanliness,3.0,0.0,30.0,0.0,33.0
location,1.0,2.0,26.0,0.0,29.0
food,2.0,0.0,19.0,0.0,21.0
room_quality,1.0,1.0,15.0,0.0,17.0
maintenance,0.0,0.0,15.0,0.0,15.0
value,2.0,1.0,12.0,0.0,15.0
safety,0.0,0.0,10.0,0.0,10.0
parking,1.0,0.0,7.0,0.0,8.0
ac,1.0,0.0,6.0,0.0,7.0
security,1.0,0.0,6.0,0.0,7.0
laundry,0.0,0.0,6.0,0.0,6.0
water,1.0,0.0,3.0,0.0,4.0
wifi,0.0,0.0,3.0,0.0,3.0
sharing,0.0,0.0,3.0,0.0,3.0
common_area,0.0,0.0,2.0,0.0,2.0
(extraction_missing),0.0,0.0,0.0,2.0,0.0
