name,dashboard_locality,property_type,segment,is_operator_or_aggregator,reject_as_pricing_source,is_self,is_existing_in_pool,is_new,dist_km_from_vishful,distance_precision,within_1km,within_2km,within_3km,within_5km,verified_first_party,official_url,monthly_price,price_confidence,source_url,evidence,name_source,collection_date
kalyani homestay,Perungudi,serviced_apartment,unknown,False,True,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
K S MENS P G HOSTAL,Chennai,mens_pg,men,False,False,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Sasikala Paying Guest,Thiruvanmiyur,pg_unknown_gender,unknown,False,False,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
VIJAY PAYING GUEST LUXURY HOSTEL,Adyar,pg_unknown_gender,unknown,False,False,False,False,True,1.3,suburb_centroid_adyar,False,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Zara co-living Space - Men's PG / Valasarvakkam,Chennai,co_living,men,False,False,False,True,False,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
SAHITHYAN MEN'S PG,Thiruvanmiyur,mens_pg,men,False,False,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
SRI LAKSHMI SRI LADIES PG,Perungudi,womens_pg,women,False,False,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Mens PG,Adyar,mens_pg,men,False,False,False,False,True,1.3,suburb_centroid_adyar,False,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Yube1 Emerald League - PG in Perungudi | Coliving PG,Perungudi,co_living,unknown,True,True,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Ganapathi PG for Women - LB Road,Thiruvanmiyur,womens_pg,women,False,False,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
WowLife Coliving PFLG (Perungudi),Perungudi,co_living,unknown,False,False,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
