state,resolved_tenants,pct_of_resolved,pct_of_all_tenants,kyc_cohort,non_kyc,sources
Tamil Nadu,82,32.7,8.0,40,42,explicit_state_field:38;city_gazetteer_address:26;pincode_circle:12;state_in_address:6
Kerala,26,10.4,2.5,12,14,explicit_state_field:12;state_in_address:8;city_gazetteer_address:4;pincode_circle:2
Maharashtra,20,8.0,1.9,10,10,explicit_state_field:10;city_gazetteer_address:7;pincode_circle:3
Andhra Pradesh,14,5.6,1.4,6,8,explicit_state_field:6;pincode_circle:3;city_gazetteer_address:3;state_in_address:2
Uttar Pradesh,13,5.2,1.3,6,7,explicit_state_field:6;city_gazetteer_address:4;state_in_address:3
Karnataka,12,4.8,1.2,7,5,explicit_state_field:7;city_gazetteer_address:3;pincode_circle:2
Delhi,10,4.0,1.0,6,4,explicit_state_field:6;state_in_address:4
West Bengal,9,3.6,0.9,4,5,explicit_state_field:4;pincode_circle:3;city_gazetteer_address:2
Telangana,9,3.6,0.9,1,8,city_gazetteer_address:6;state_in_address:2;explicit_state_field:1
Rajasthan,7,2.8,0.7,4,3,explicit_state_field:4;city_gazetteer_address:2;state_in_address:1
Chhattisgarh,7,2.8,0.7,2,5,city_gazetteer_address:4;explicit_state_field:2;state_in_address:1
Madhya Pradesh,7,2.8,0.7,2,5,city_gazetteer_address:4;explicit_state_field:2;pincode_circle:1
Gujarat,5,2.0,0.5,3,2,explicit_state_field:3;city_gazetteer_address:2
Haryana,5,2.0,0.5,2,3,state_in_address:2;explicit_state_field:2;city_gazetteer_address:1
Jharkhand,5,2.0,0.5,0,5,city_gazetteer_address:3;state_in_address:2
Assam,4,1.6,0.4,2,2,explicit_state_field:2;state_in_address:1;city_gazetteer_address:1
Puducherry,4,1.6,0.4,3,1,explicit_state_field:3;city_gazetteer_address:1
Odisha,4,1.6,0.4,0,4,city_gazetteer_address:4
Bihar,3,1.2,0.3,2,1,explicit_state_field:2;city_gazetteer_address:1
Uttarakhand,1,0.4,0.1,1,0,explicit_state_field:1
Punjab,1,0.4,0.1,0,1,city_gazetteer_address:1
Chandigarh,1,0.4,0.1,0,1,state_in_address:1
Himachal Pradesh,1,0.4,0.1,0,1,city_gazetteer_address:1
Tripura,1,0.4,0.1,1,0,explicit_state_field:1
