property_name,operator,operator_source_type,locality,pincode,distance_from_vishful_km,distance_basis,source_platform,source_url,source_evidence_type,sharing_type,published_rent,price_basis,price_evidence,review_evidence,amenities,amenity_provenance,provenance
Kayal Ladies Hostel,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Justdial,https://www.justdial.com/Chennai/Kayal-Ladies-Hostel-Upstairs-Of-Poorvika-Opposite-To-Rto-Thiruvanmiyur/044PXX44-XX44-231013220151-N8R8_BZDET,third_party_platform_listing,3-share (AC and non-AC rooms),,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),"breakfast, lunch and dinner included; AC and non-AC rooms",third_party_platform_listed,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Sivasakthi Ladies Hostel Pg,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Justdial,https://www.justdial.com/Chennai/Sivasakthi-Ladies-Hostel-Pg-Near-Thiruvanmiyur-Post-Office-Thiruvanmiyur/044PXX44-XX44-130719193027-Q9H4_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Le Royal Pg For Ladies,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Justdial,https://www.justdial.com/Chennai/Le-Royal-PG-for-Ladies-Near-Thiruvanmiyur-post-office-Thiruvanmiyur/044PXX44-XX44-160218150221-V6H8_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Prema's Ladies P G,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Justdial,https://www.justdial.com/Chennai/Premas-Ladies-P-G-Near-Valmiki-Nagar-Thiruvalluvar-Nagar-Thiruvanmiyur/044PXX44-XX44-230819062701-U9C9_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Mpr Womens Pg,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Justdial,https://www.justdial.com/Chennai/Mpr-Womens-Pg-Near-By-Amma-Unavagam-Thiruvanmiyur/044PXX44-XX44-220829115036-J4K4_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Homely Women's Pg,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Justdial,https://www.justdial.com/Chennai/Homely-WomenS-Pg-Thiruvanmiyur/044PXX44-XX44-250404220759-J7A7_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Subham Women's & Men's Hostel,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Justdial,https://www.justdial.com/Chennai/Subham-Womens-Mens-Hostel-Near-Sankara-School-Kamaraj-Nagar-Thiruvanmiyur/044PXX44-XX44-181225224606-Y9F1_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Divya Sri PG Ladies & Gents Hostel,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Sulekha,https://www.sulekha.com/divya-sri-pg-ladies-gents-hostel-thiruvanmiyur-chennai-contact-address,third_party_platform_listing,AC and Non-AC rooms,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),"common TV, 2-wheeler parking, Wi-Fi/Broadband, drinking water, washing machine, refrigerator",third_party_platform_listed,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Bliss Women's Hostel,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Sulekha,https://www.sulekha.com/bliss-women-s-hostel-thiruvanmiyur-chennai-contact-address,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),spacious and hygienic rooms for students and working women,third_party_platform_listed,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Sa Guest Inn,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Sulekha / gopgo / 99acres,https://www.sulekha.com/pg/thiruvanmiyur-chennai,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Ivalin Kudil Ladies PG Hostel,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Own website (Vercel),https://ivalinkudilsite.vercel.app/,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
SSM Working Womens Hostel,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),gopgo (PGO),https://www.gopgo.in/chennai/thiruvanmiyur/hostel/1290-ssm-working-womens-hostel/pgo-properties,third_party_platform_listing,"2-share, 3-share, 4-share",,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Nakshatra Stay Ladies P.G,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),gopgo (PGO),https://www.gopgo.in/chennai/thiruanmiyur/pg/8249-nakshatra-stay-ladies-p-g/pgo-properties,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Staylogy Thyme,independent,independent,Thiruvanmiyur,,1.03,coarse_suburb_centroid_thiruvanmiyur(Nominatim),Staylogy (operator website),https://staylogy.co.in/property/thyme/,third_party_platform_listing,"single, 2-sharing, 3-sharing","Single from Rs 18,000; 2-sharing from Rs 14,500; 3-sharing from Rs 12,500",SHARING_SPECIFIC,"Single from Rs 18,000; 2-sharing from Rs 14,500; 3-sharing from Rs 12,500",ratings only (no review text collected),"WiFi, food, security, coliving amenities",third_party_platform_listed,platform listing sweep (thiruvanmiyur); identity confirmed name+locality
Twilight Enterprises (Twilight PG Accommodation),independent,independent,"Indira Nagar, Adyar, Chennai 600020",,2.09,coarse_suburb_centroid_adyar(Nominatim),Sulekha; Justdial,https://www.sulekha.com/pg-for-mens/adyar-chennai,third_party_platform_listing,not displayed,not displayed,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),"AC, WiFi, parking, washing machine, kitchen",third_party_platform_listed,platform listing sweep (adyar); identity confirmed name+locality
Mother Teresa Ladies Hostel,independent,independent,"Adyar, Chennai 600020",,2.09,coarse_suburb_centroid_adyar(Nominatim),Sulekha,https://www.sulekha.com/mother-teresa-ladies-hostel-adyar-chennai-contact-address,third_party_platform_listing,not displayed,"Rs. 2,500 - 6,000",RANGE,"Rs. 2,500 - 6,000",ratings only (no review text collected),"beds, cupboards, 24-hour water, 24-hour security, parking",third_party_platform_listed,platform listing sweep (adyar); identity confirmed name+locality
Kongu Paying Guest,independent,independent,"Indira Nagar, Adyar, Chennai",,2.09,coarse_suburb_centroid_adyar(Nominatim),Hexahome; PGchoice,https://www.hexahome.in/kongu-paying-guest-pg-in-adyar-chennai-id-26W7V2/,third_party_platform_listing,not displayed,"Rs. 10,000 onwards",STARTING_FROM,"Rs. 10,000 onwards",ratings only (no review text collected),"fully furnished, vegetarian food only",third_party_platform_listed,platform listing sweep (adyar); identity confirmed name+locality
UGAN PG Hostel,independent,independent,"Adyar, Chennai",,2.09,coarse_suburb_centroid_adyar(Nominatim),Hexahome,https://www.hexahome.in/ugan-pg-hostel-in-adyar-chennai-id-5FMRLY/,third_party_platform_listing,private and shared rooms,"Rs. 10,000 onwards",STARTING_FROM,"Rs. 10,000 onwards",ratings only (no review text collected),"fully furnished, 3 floors",third_party_platform_listed,platform listing sweep (adyar); identity confirmed name+locality
RMJ Ladies PG (Executive Hostel),independent,independent,"Perungudi (Seevaram), Chennai 600096",,2.37,coarse_suburb_centroid_perungudi(Nominatim),Justdial,https://www.justdial.com/Chennai/Rmj-Ladies-Pg-Executive-Hostel-Perungudi-Seevaram/044PXX44-XX44-180831235539-H7F1_BZDET,third_party_platform_listing,,,UNKNOWN,unknown/contact-gated,ratings only (no review text collected),,none,platform listing sweep (perungudi); identity confirmed name+locality
