recommendation_id,evidence_id,place_id,place_name,category,place_kind,matched_tag,lat,lng,distance_km,distance_display,source_url,provider,retrieval_date,source_confidence
AIREC-NEARBY-TRANSPORT,EV-NEAR-001,osm:node/5486341834,Jayanti,TRANSPORT,bus_stop,highway=bus_stop,12.9874595,80.2553985,0.053,0.05 km,https://www.openstreetmap.org/node/5486341834,openstreetmap,2026-08-27,Medium
AIREC-NEARBY-TRANSPORT,EV-NEAR-006,osm:node/5311755239,Tiruvanmiyur,TRANSPORT,railway_station,railway=station,12.9889822,80.2515865,0.405,0.41 km,https://www.openstreetmap.org/node/5311755239,openstreetmap,2026-08-27,High
AIREC-NEARBY-TRANSPORT,EV-NEAR-007,osm:way/125234718,Thiruvanmiyur MTC Terminus,TRANSPORT,bus_station,amenity=bus_station,12.9868356,80.2593327,0.468,0.47 km,https://www.openstreetmap.org/way/125234718,openstreetmap,2026-08-27,High
AIREC-NEARBY-TRANSPORT,EV-NEAR-008,osm:node/5311755238,Indira Nagar,TRANSPORT,railway_station,railway=station,12.9960623,80.249716,1.084,1.08 km,https://www.openstreetmap.org/node/5311755238,openstreetmap,2026-08-27,High
AIREC-NEARBY-TRANSPORT,EV-NEAR-009,osm:way/354794432,Taramani,TRANSPORT,bus_station,amenity=bus_station,12.9855115,80.2405569,1.602,1.60 km,https://www.openstreetmap.org/way/354794432,openstreetmap,2026-08-27,High
AIREC-NEARBY-HEALTHCARE,EV-NEAR-014,osm:node/6935067323,Ponraj Eye Clinic,HEALTHCARE,clinic,amenity=clinic,12.9892035,80.2554783,0.153,0.15 km,https://www.openstreetmap.org/node/6935067323,openstreetmap,2026-08-27,High
AIREC-NEARBY-HEALTHCARE,EV-NEAR-015,osm:way/462740006,corporation hospital,HEALTHCARE,hospital,amenity=hospital,12.9846941,80.2573424,0.426,0.43 km,https://www.openstreetmap.org/way/462740006,openstreetmap,2026-08-27,Medium
AIREC-NEARBY-HEALTHCARE,EV-NEAR-016,osm:node/7823415035,Leela Eye Clinic,HEALTHCARE,clinic,amenity=clinic,12.985598,80.2585613,0.448,0.45 km,https://www.openstreetmap.org/node/7823415035,openstreetmap,2026-08-27,High
AIREC-NEARBY-HEALTHCARE,EV-NEAR-021,osm:node/7823415091,Ashwini Hospital,HEALTHCARE,hospital,amenity=hospital,12.9890173,80.2599586,0.537,0.54 km,https://www.openstreetmap.org/node/7823415091,openstreetmap,2026-08-27,High
AIREC-NEARBY-HEALTHCARE,EV-NEAR-024,osm:node/3774546122,Andavar Medicals,HEALTHCARE,pharmacy,amenity=pharmacy,12.9991848,80.2563513,1.265,1.26 km,https://www.openstreetmap.org/node/3774546122,openstreetmap,2026-08-27,Medium
AIREC-NEARBY-ESSENTIALS,EV-NEAR-029,osm:node/5230324751,Raj vegetable shop,ESSENTIALS,grocery,shop=greengrocer,12.9856166,80.2583309,0.426,0.43 km,https://www.openstreetmap.org/node/5230324751,openstreetmap,2026-08-27,Medium
AIREC-NEARBY-ESSENTIALS,EV-NEAR-030,osm:node/2324300943,Thiruvanmiyur Market,ESSENTIALS,grocery,shop=greengrocer,12.9861011,80.259668,0.528,0.53 km,https://www.openstreetmap.org/node/2324300943,openstreetmap,2026-08-27,Medium
AIREC-NEARBY-ESSENTIALS,EV-NEAR-031,osm:node/1560729725,Cee Dee Yes supermarket,ESSENTIALS,grocery,shop=supermarket,12.9952269,80.2522381,0.877,0.88 km,https://www.openstreetmap.org/node/1560729725,openstreetmap,2026-08-27,High
AIREC-NEARBY-ESSENTIALS,EV-NEAR-032,osm:node/2868606331,Singapore Shoppe,ESSENTIALS,grocery,shop=supermarket,12.9828491,80.2618804,0.919,0.92 km,https://www.openstreetmap.org/node/2868606331,openstreetmap,2026-08-27,High
AIREC-NEARBY-EDUCATION,EV-NEAR-034,osm:way/29046739,Corporation School,EDUCATION,education,amenity=school,12.9899172,80.2547682,0.231,0.23 km,https://www.openstreetmap.org/way/29046739,openstreetmap,2026-08-27,Medium
AIREC-NEARBY-EDUCATION,EV-NEAR-035,osm:way/30343118,Sri Sankara Vidyashram HSS,EDUCATION,education,amenity=school,12.9852776,80.2570368,0.354,0.35 km,https://www.openstreetmap.org/way/30343118,openstreetmap,2026-08-27,Medium
AIREC-NEARBY-EDUCATION,EV-NEAR-036,osm:way/35572308,National Institute of Fashion Technology - NIFT Chennai,EDUCATION,education,amenity=college,12.984388,80.2515083,0.552,0.55 km,https://www.openstreetmap.org/way/35572308,openstreetmap,2026-08-27,Medium
AIREC-NEARBY-EDUCATION,EV-NEAR-037,osm:way/35572368,National Institute of Technical Teachers' Training and Research,EDUCATION,education,amenity=college,12.987717,80.2496996,0.59,0.59 km,https://www.openstreetmap.org/way/35572368,openstreetmap,2026-08-27,High
AIREC-NEARBY-FINANCIAL,EV-NEAR-039,osm:node/5225940431,State Bank of India,FINANCIAL,atm,amenity=atm,12.9878046,80.2557348,0.064,0.06 km,https://www.openstreetmap.org/node/5225940431,openstreetmap,2026-08-27,High
AIREC-NEARBY-FINANCIAL,EV-NEAR-040,osm:node/2587520238,Indian Overseas Bank,FINANCIAL,bank,amenity=bank,12.9883429,80.2556313,0.074,0.07 km,https://www.openstreetmap.org/node/2587520238,openstreetmap,2026-08-27,High
AIREC-NEARBY-FINANCIAL,EV-NEAR-041,osm:node/317827821,Indian Bank,FINANCIAL,atm,amenity=atm,12.9901845,80.2562651,0.285,0.28 km,https://www.openstreetmap.org/node/317827821,openstreetmap,2026-08-27,High
AIREC-NEARBY-FINANCIAL,EV-NEAR-043,osm:node/1726088618,Axis Bank,FINANCIAL,atm,amenity=atm,12.9850549,80.2518985,0.471,0.47 km,https://www.openstreetmap.org/node/1726088618,openstreetmap,2026-08-27,High
AIREC-NEARBY-FINANCIAL,EV-NEAR-044,osm:node/7045971486,Yes Bank,FINANCIAL,bank,amenity=bank,12.9925557,80.2558139,0.526,0.53 km,https://www.openstreetmap.org/node/7045971486,openstreetmap,2026-08-27,High
