month,revenue,total_expenses,owner_rent,existing_profit,corrected_profit,margin_pct
2019-11-01,1000.0,0.0,0.0,1000.0,1000.0,100.0
2021-12-01,-26000.0,0.0,0.0,-26000.0,-26000.0,100.0
2022-02-01,-1515.0,0.0,0.0,-1515.0,-1515.0,100.0
2022-04-01,1000.0,0.0,0.0,1000.0,1000.0,100.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,
2022-09-01,-13000.0,0.0,0.0,-13000.0,-13000.0,100.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,
2022-11-01,-34500.0,61000.0,61000.0,-95500.0,-156500.0,453.6
2022-12-01,-23300.0,129000.0,129000.0,-152300.0,-281300.0,1207.3
2023-01-01,0.0,129000.0,129000.0,-129000.0,-258000.0,
2023-02-01,2100.0,129000.0,129000.0,-126900.0,-255900.0,-12185.7
2023-03-01,260581.75,153850.0,129000.0,106731.75,-22268.25,-8.5
2023-04-01,384340.0,140500.0,129000.0,243840.0,114840.0,29.9
2023-05-01,422716.0,244000.0,233000.0,178716.0,-54284.0,-12.8
2023-06-01,429191.0,240500.0,233000.0,188691.0,-44309.0,-10.3
2023-07-01,411010.0,238700.0,233000.0,172310.0,-60690.0,-14.8
2023-08-01,483052.0,278900.0,233000.0,204152.0,-28848.0,-6.0
2023-09-01,430289.0,235000.0,233000.0,195289.0,-37711.0,-8.8
2023-10-01,493964.0,233570.0,233000.0,260394.0,27394.0,5.5
2023-11-01,518603.0,303000.0,303000.0,215603.0,-87397.0,-16.9
2023-12-01,536555.0,303000.0,303000.0,233555.0,-69445.0,-12.9
2024-01-01,564573.0,305031.0,303000.0,259542.0,-43458.0,-7.7
2024-02-01,709259.0,303494.0,303000.0,405765.0,102765.0,14.5
2024-03-01,815577.0,324000.0,303000.0,491577.0,188577.0,23.1
2024-04-01,984882.0,315000.0,303000.0,669882.0,366882.0,37.3
2024-05-01,1058515.0,303000.0,303000.0,755515.0,452515.0,42.7
2024-06-01,1115718.0,303000.0,303000.0,812718.0,509718.0,45.7
2024-07-01,1124765.0,303000.0,303000.0,821765.0,518765.0,46.1
2024-08-01,1296783.0,331376.0,303000.0,965407.0,662407.0,51.1
2024-09-01,1398120.0,343320.0,336000.0,1054800.0,718800.0,51.4
2024-10-01,1436431.0,449570.0,436000.0,986861.0,550861.0,38.3
2024-11-01,1486118.29,481850.0,474500.0,1004268.29,529768.29,35.6
2024-12-01,1535357.77,478230.0,474500.0,1057127.77,582627.77,37.9
2025-01-01,1723232.0,480150.0,474500.0,1243082.0,768582.0,44.6
2025-02-01,2056307.0,488270.0,474500.0,1568037.0,1093537.0,53.2
2025-03-01,2242184.0,488256.0,474500.0,1753928.0,1279428.0,57.1
2025-04-01,2423712.62,513445.43,474500.0,1910267.1900000002,1435767.1900000002,59.2
2025-05-01,2649987.71,553178.0,478000.0,2096809.71,1618809.71,61.1
2025-06-01,2840892.75,493330.0,478000.0,2347562.75,1869562.75,65.8
2025-07-01,2752402.45,515418.0,478000.0,2236984.45,1758984.4500000002,63.9
2025-08-01,2963646.85,528158.0,478000.0,2435488.85,1957488.85,66.1
2025-09-01,3092396.22,739630.0,686000.0,2352766.22,1666766.2200000002,53.9
2025-10-01,2897959.0,737550.0,691000.0,2160409.0,1469409.0,50.7
2025-11-01,2760389.0,713225.0,697725.0,2047164.0,1349439.0,48.9
2025-12-01,2570516.57,704476.0,697725.0,1866040.5699999998,1168315.5699999998,45.5
2026-01-01,2539549.42,701606.0,697725.0,1837943.42,1140218.42,44.9
2026-02-01,2720625.0,734972.46,697725.0,1985652.54,1287927.54,47.3
2026-03-01,2774058.0,764441.0,697725.0,2009617.0,1311892.0,47.3
2026-04-01,2890610.0,720344.55,697725.0,2170265.45,1472540.4500000002,50.9
2026-05-01,3153828.0,1189589.0,697725.0,1964239.0,1266514.0,40.2
2026-06-01,3300730.0,696438.0,697725.0,2604292.0,1906567.0,57.8
2026-07-01,3337114.03,560934.52,0.0,2776179.51,2776179.51,83.2
2026-08-01,3159088.0,0.0,0.0,3159088.0,3159088.0,100.0
